title	url	duration	Video	content1	content_map1	content_map_hierarchy1	content_map_hierarchy_upper1	format1	format_map1	format_map_hierarchy1	content2	content_map2	content_map_hierarchy2	content_map_hierarchy_upper2	format2	format_map2	format_map_hierarchy2	channel
Medieval Forts Restored as Spectacular Hunza Valley Builds Its Future | National Geographic	https://www.youtube.com/watch?v=0xgHU4hOZgI	268.0	National_Geographic_0xgHU4hOZgI	entertainment.sports.adventure	Sports & Adventure	Sports & Adventure	Entertainment	docustyle	Documentary	Documentary Style (Mixed Format)	growth.careerdevelopment	Personal Development	Personal Development	Lifestyle & Wellbeing	talkinghead.frameregular	Talking Head - Center	Single Presenter	National_Geographic
A Flight Attendant's Entire Routine, From Waking Up to Layovers | Work It | Allure	https://www.youtube.com/watch?v=N6MX6m9lDbg	811.0	Allure_N6MX6m9lDbg	lifestyle.style.beauty	Beauty & Fashion	Beauty & Fashion	Lifestyle & Wellbeing	vlog	Selfie Camera (Vlog)	Video Journal (Vlogs)	entertainment.reality.living	Lifestyle	Lifestyle	Lifestyle & Wellbeing	docustyle	Documentary	Documentary Style (Mixed Format)	Allure
Modern Longhouse Design - An Architect's Design Process part 2 of 2	https://www.youtube.com/watch?v=zvUHrE4jBHk	408.0	30X40_Design_Workshop_zvUHrE4jBHk	edu.arts.architecture	Architecture	Architecture	Education	writing.hand	Writing Hand (No head visible)	Instructional	edu.arts.languages	Languages	Languages	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	30X40_Design_Workshop
David Brooks: Maybe Bernie Sanders Is Right	https://www.youtube.com/watch?v=Fh1mh6ppAdc	654.0	NYT_Podcasts_Fh1mh6ppAdc	edu.social.politics	Political Science	Social Sciences	Education	placeholderdisplay	Static Screen / No video	Static Screen / No video	edu.social.sociology	Social Sciences	Social Sciences	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	NYT_Podcasts
The Secret Code of Silent Millionaires	https://www.youtube.com/watch?v=_D05clJr_lg	563.0	Practical_Wisdom_Interesting_Ideas__D05clJr_lg	skills.financial.personalfinance	Finance Tutorials	Finance Tutorials	How-To & Tutorials	docustyle	Documentary	Documentary Style (Mixed Format)	edu.business.finance	Finance	Business & Economics	Education	animated.info	Infographics	Infographics/Slidedeck	Practical_Wisdom_Interesting_Ideas
WRTG394 - Week 5 Overview	https://www.youtube.com/watch?v=W65vkwccZkE	747.0	David_Taylor_W65vkwccZkE	edu.business.management	Business	Business & Economics	Education	talkinghead.framecorner	Talking Head - Corner	Single Presenter	language.teachinglanguage	Languages	Languages	Education	screencast	Screencast	Screencast	David_Taylor
"What is Synthetic Data? No, It's Not ""Fake"" Data"	https://www.youtube.com/watch?v=HIusawrGBN4	409.0	IBM_Technology_HIusawrGBN4	edu.stem.engineering.datascience	Data Science	Computer & Data Science	Education	board.lightboard	Glassboard	Instructional	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	animated.graphics	Motion Graphics	Animations	IBM_Technology
Gordon Ramsay's Christmas Main Dinners | Part Two	https://www.youtube.com/watch?v=0NZvqCwKXJE	867.0	Gordon_Ramsay_0NZvqCwKXJE	skills.culinary.cooking	Food	Food & Cooking	Entertainment	practicaldemonstration.cooking	Cooking	Cooking	lifestyle.food	Food	Food & Cooking	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	Gordon_Ramsay
Paranormal Activity: Next of Kin (2021) - Ripped Apart Scene | Movieclips	https://www.youtube.com/watch?v=F2m8oWwxvio	187.0	RottenTomatoes_F2m8oWwxvio	entertainment.movies.clips	Movies, Theatre & Drama	Movies, TV & Drama	Entertainment	pov.realworld	Point of View Camera (Vlog)	Video Journal (Vlogs)	edu.arts.architecture	Architecture	Architecture	Education	rawfootage	Raw Footage	Raw Footage	RottenTomatoes
Mimo App Review (Worth It To Learn Coding In 2024?)	https://www.youtube.com/watch?v=9QGq8xEya_Y	345.0	Lois_Talagrand_9QGq8xEya_Y	skills.digital.coding	Tech Tutorials	Tech & Creative Tutorials	How-To & Tutorials	talkinghead.framecorner	Talking Head - Corner	Single Presenter	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	screencast	Screencast	Screencast	Lois_Talagrand
Cosmological time scale 1 | Scale of the universe | Cosmology & Astronomy | Khan Academy	https://www.youtube.com/watch?v=DRtLXagrMHw	427.0	Khan_Academy_DRtLXagrMHw	edu.stem.astronomy	Physics/Astronomy	Physical Sciences	Education	animated.graphics	Motion Graphics	Animations	edu.social.history	History	Social Sciences	Education	animated.info	Infographics	Infographics/Slidedeck	Khan_Academy
Introduction to Islam  | World History | Khan Academy	https://www.youtube.com/watch?v=Gg6ju-lHCwU	531.0	Khan_Academy_Gg6ju-lHCwU	edu.humanities.religion	Religion	Humanities	Education	writing.stylus	Digital Writing (use of a cursor)	Instructional	religious.guidelines	Religion & Spirituality	Religion & Spirituality	Religion & Spirituality	animated.info	Infographics	Infographics/Slidedeck	Khan_Academy
Colonial Times for Kids | Learn about the colonial America	https://www.youtube.com/watch?v=4f3LsMKzxdg	591.0	Learn_Bright_4f3LsMKzxdg	edu.social.history	History	Social Sciences	Education	docustyle	Documentary	Documentary Style (Mixed Format)	news.politics	News	News	News/Commentary	animation.powerpoint	Slidedeck	Infographics/Slidedeck	Learn_Bright
Which Seafood Is Better for the Environment: Farmed or Wild Caught?	https://www.youtube.com/watch?v=zn6AD3khu1U	603.0	SciShow_zn6AD3khu1U	edu.stem.environment	Environmental Sciences	Environmental Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	edu.stem.biology.marinebiology	Biology	Life Sciences	Education	animated.info	Infographics	Infographics/Slidedeck	SciShow
Heidi Klum & Tim Gunn Talk Moving on From 'Project Runway' to New Fashion Show 'Making the Cut'	https://www.youtube.com/watch?v=stEzdW2v18A	245.0	Variety_stEzdW2v18A	lifestyle.style.fashion	Beauty & Fashion	Beauty & Fashion	Lifestyle & Wellbeing	conversation.formal	Conversations	Simultaneous Presenters	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	docustyle	Documentary	Documentary Style (Mixed Format)	Variety
5 Powerful Principles of Leadership and Motherhood | Mandy Purwa Hartono | TEDxYouth@SWA	https://www.youtube.com/watch?v=IPUrwY6bVTo	642.0	TEDx_IPUrwY6bVTo	growth.careerdevelopment	Personal Development	Personal Development	Lifestyle & Wellbeing	persononstage	Person on stage	Single Presenter	edu.business.management	Business	Business & Economics	Education	slides	Slidedeck	Infographics/Slidedeck	TEDx
What Are The Best Foods & Nutrients To Eat When Pregnant? - WeNatal	https://www.youtube.com/watch?v=-cLDsyJ5HZg	464.0	Max_Lugavere_-cLDsyJ5HZg	wellbeing.nutrition	Nutrition	Fitness & Nutrition	Lifestyle & Wellbeing	conversation.podcast	Conversations	Simultaneous Presenters	news.health	News	News	News/Commentary	conversation.formal	Conversations	Simultaneous Presenters	Max_Lugavere
Quarter as Interesting: The Topics That Weren't Good Enough	https://www.youtube.com/watch?v=4z1-KJbH7Sk	398.0	halfasinteresting_4z1-KJbH7Sk	misc.productreview	Product Reviews	Product Reviews	Reviews	screencast	Screencast	Screencast	edu.stem.engineering.electrical	Engineering	Engineering	Education	animated.graphics	Motion Graphics	Animations	halfasinteresting
A Beginner's Guide to Investing in the S&P-500 In 2024	https://www.youtube.com/watch?v=YK1IN1cOXE8	499.0	Practical_Wisdom_Interesting_Ideas_YK1IN1cOXE8	edu.business.finance	Finance	Business & Economics	Education	animated.graphics	Motion Graphics	Animations	skills.financial.personalfinance	Finance Tutorials	Finance Tutorials	How-To & Tutorials	animated.info	Infographics	Infographics/Slidedeck	Practical_Wisdom_Interesting_Ideas
Lecture 5.2: Building with DNA  — Compatible Ends	https://www.youtube.com/watch?v=dhMAf7qhVLY	880.0	MIT_OpenCourseWare_dhMAf7qhVLY	edu.stem.biology.molecularbiology	Biology	Life Sciences	Education	board.chalkboard	Chalkboard	Instructional	edu.stem.biology.genetics	Biology	Life Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	MIT_OpenCourseWare
The Dark Forest Theory: We Found A Solution To The Fermi Paradox!	https://www.youtube.com/watch?v=huJutEZ_hOg	663.0	Insane_Curiosity_huJutEZ_hOg	edu.stem.astronomy	Physics/Astronomy	Physical Sciences	Education	animated.graphics	Motion Graphics	Animations	edu.humanities.philosophy	Philosophy	Humanities	Education	animated.info	Infographics	Infographics/Slidedeck	Insane_Curiosity
Far right spreads conspiracy theory involving Taylor Swift and NFL	https://www.youtube.com/watch?v=tlwdslSEdZc	462.0	CNN_US_News_tlwdslSEdZc	misc.conspiracy	Conspiracy	Conspiracy	Entertainment	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	news.politics	News	News	News/Commentary	talkinghead.framecorner	Talking Head - Corner	Single Presenter	CNN_US_News
Brilliant Lawyer - SNL	https://www.youtube.com/watch?v=cX07XWVoJQ0	318.0	Saturday_Night_Live_cX07XWVoJQ0	entertainment.comedy.sketch	Comedy	Comedy	Entertainment	skit	Skit/Parody/Sketch/Short Film	Staged Performance	edu.social.law	Law	Social Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Saturday_Night_Live
Using algebra to find measures of angles formed from transversal | Geometry | Khan Academy	https://www.youtube.com/watch?v=Ld7Vxb5XV6A	281.0	Khan_Academy_Ld7Vxb5XV6A	edu.stem.math.geometry	Mathematics	Mathematics	Education	writing.stylus	Digital Writing (use of a cursor)	Instructional	edu.stem.math.algebra	Mathematics	Mathematics	Education	animated.graphics	Motion Graphics	Animations	Khan_Academy
Societal Expectations and Inner Desires: The Complex Dynamics of Motivation	https://www.youtube.com/watch?v=HLiasZwWTjA	351.0	Sprouts_HLiasZwWTjA	edu.social.psychology	Psychology	Social Sciences	Education	animated.comic	Comic Book Style	Animations	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.graphics	Motion Graphics	Animations	Sprouts
Public Speaking: 12 Rules for The Perfect Speech	https://www.youtube.com/watch?v=a2278dNH5v8	421.0	Sprouts_a2278dNH5v8	growth.careerdevelopment	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.comic	Comic Book Style	Animations	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	animated.graphics	Motion Graphics	Animations	Sprouts
The Largest Planetary System that Could Exist	https://www.youtube.com/watch?v=kDHouMEXHQg	552.0	Astrum_kDHouMEXHQg	edu.stem.astronomy	Physics/Astronomy	Physical Sciences	Education	animated.info	Infographics	Infographics/Slidedeck	edu.arts.architecture	Architecture	Architecture	Education	animated.graphics	Motion Graphics	Animations	Astrum
01 - Learn to Add Fractions With Like Denominators (5th Grade Math)	https://www.youtube.com/watch?v=RElSiuX4rZk	664.0	Math_and_Science_RElSiuX4rZk	edu.stem.math.algebra	Mathematics	Mathematics	Education	board.whiteboard	Whiteboard	Instructional	edu.stem.math.arithmetic	Mathematics	Mathematics	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Math_and_Science
BIGFOOT CAUGHT: Musical Edition! (FGTEEV Finding Bigfoot Mobile Fake)	https://www.youtube.com/watch?v=r6C7iWKb1eo	707.0	FGTeeV_r6C7iWKb1eo	gaming.gameplay	Gaming	Gaming	Entertainment	talkinghead.framecorner	Talking Head - Corner	Single Presenter	entertainment.music	Music (Entertainment)	Music & Performance	Entertainment	gaming	Gaming	Gaming	FGTeeV
Don't forget the old fashioned macarons: 3 ingredients ready in 20 minutes	https://www.youtube.com/watch?v=vKacPWYvR1g	527.0	French_Cooking_Academy_vKacPWYvR1g	skills.culinary.baking	Food	Food & Cooking	Entertainment	practicaldemonstration.cooking	Cooking	Cooking	lifestyle.food	Food	Food & Cooking	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	French_Cooking_Academy
A Road to Peace | Shunichi Karube | TEDxSuginami	https://www.youtube.com/watch?v=4SDI3D2DPoA	495.0	TEDx_4SDI3D2DPoA	edu.humanities.ethics	Philosophy	Humanities	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	edu.social.history	History	Social Sciences	Education	persononstage	Person on stage	Single Presenter	TEDx
LED Edge Lit Table- HOW TO	https://www.youtube.com/watch?v=SaG-NQ64540	256.0	Mark_Rober_SaG-NQ64540	skills.diy.homeimprovement	DIY & Crafts	DIY & Crafts	How-To & Tutorials	practicaldemonstration.engineering	Physical Demo	Physical Demo	lifestyle.home	Home & Garden	Home & Garden	Lifestyle & Wellbeing	talkinghead.frameregular	Talking Head - Center	Single Presenter	Mark_Rober
How Unused Gift Cards Power Delaware’s Economy	https://www.youtube.com/watch?v=Gh7b2SSYrro	779.0	PolyMatter_Gh7b2SSYrro	edu.business.economics	Economics	Business & Economics	Education	animated.info	Infographics	Infographics/Slidedeck	edu.social.law	Law	Social Sciences	Education	docustyle	Documentary	Documentary Style (Mixed Format)	PolyMatter
Teacher Moderation Guided Reading/Guided Writing Pt1 of 2	https://www.youtube.com/watch?v=MD_zW0Rd3HU	406.0	Knatim_MD_zW0Rd3HU	edu.education.pedagogy.teachingprinciples	Teaching	Teacher Training	Education	classroom	Classroom Lecture	Instructional	edu.arts.writing	Arts	Arts & Literature	Education	conversation.casual	Conversations	Simultaneous Presenters	Knatim
Pitch Your Business	https://www.youtube.com/watch?v=38v6cDzxpUg	360.0	Sprouts_38v6cDzxpUg	edu.business.entrepreneurship	Business	Business & Economics	Education	animated.comic	Comic Book Style	Animations	edu.business.marketing	Business	Business & Economics	Education	animated.graphics	Motion Graphics	Animations	Sprouts
Climbing Angel Falls, the Beauty and the Danger | One Strange Rock	https://www.youtube.com/watch?v=C_s-MNZAVjs	189.0	National_Geographic_C_s-MNZAVjs	entertainment.sports.adventure	Sports & Adventure	Sports & Adventure	Entertainment	docustyle	Documentary	Documentary Style (Mixed Format)	entertainment.sports.extremes	Sports & Adventure	Sports & Adventure	Entertainment	pov.realworld	Point of View Camera (Vlog)	Video Journal (Vlogs)	National_Geographic
GitOps on Multicloud Explained	https://www.youtube.com/watch?v=tQtni2st3xo	327.0	IBM_Technology_tQtni2st3xo	edu.stem.engineering.computerscience	Computer Science	Computer & Data Science	Education	board.lightboard	Glassboard	Instructional	edu.business.management	Business	Business & Economics	Education	animated.graphics	Motion Graphics	Animations	IBM_Technology
OKC Thunder winning Game 7 was a ‘COMING-OF-AGE’ moment - Alan Hahn | Get Up	https://www.youtube.com/watch?v=7Mrd-eaTl0s	731.0	ESPN_7Mrd-eaTl0s	news.sports	Sports & Adventure	Sports & Adventure	Entertainment	paneldiscussion.inperson	Panel Discussion - In Person	Simultaneous Presenters	entertainment.sports.team	Sports & Adventure	Sports & Adventure	Entertainment	conversation.formal	Conversations	Simultaneous Presenters	ESPN
Penn Badgley Reads Classic Literature as Joe From 'You'	https://www.youtube.com/watch?v=B7HXnSGnisE	435.0	Variety_B7HXnSGnisE	edu.arts.acting	Arts	Arts & Literature	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	entertainment.variety.talkshow	Stories/Anecdotes/Celebrity Content	Quizzes, Celebrities & Late Night	Entertainment	docustyle	Documentary	Documentary Style (Mixed Format)	Variety
Engaging Students   in Mathematics Group03_Sharing_2011-10-19.mov	https://www.youtube.com/watch?v=OPlXPCEUaCY	355.0	Knatim_OPlXPCEUaCY	edu.education.pedagogy.teachingprinciples	Teaching	Teacher Training	Education	classroom	Classroom Lecture	Instructional	edu.stem.math.algebra	Mathematics	Mathematics	Education	board.whiteboard	Whiteboard	Instructional	Knatim
A Day In The Life - Professional YouTuber	https://www.youtube.com/watch?v=6ySK6XGS13M	325.0	Engineering_Explained_6ySK6XGS13M	vlog.daily	Personal Anecdotes	Personal Anecdotes/Vlogs	Entertainment	vlog	Selfie Camera (Vlog)	Video Journal (Vlogs)	edu.stem.engineering.automotive	Engineering	Engineering	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Engineering_Explained
How to Naturally Grow a Beard from Nothing	https://www.youtube.com/watch?v=CBPb-1SMB-M	597.0	TopThink_CBPb-1SMB-M	lifestyle.style.beauty	Beauty & Fashion	Beauty & Fashion	Lifestyle & Wellbeing	animated.graphics	Motion Graphics	Animations	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	writing.stylus	Digital Writing (use of a cursor)	Instructional	TopThink
Travis Walton Remembers Encounter with Aliens	https://www.youtube.com/watch?v=QwfJIFH3WMY	566.0	PowerfulJRE_QwfJIFH3WMY	misc.conspiracy	Conspiracy	Conspiracy	Entertainment	conversation.podcast	Conversations	Simultaneous Presenters	edu.stem.astronomy	Physics/Astronomy	Physical Sciences	Education	conversation.formal	Conversations	Simultaneous Presenters	PowerfulJRE
LearnStorm Growth Mindset: Dave Paunesku on teacher modeling of growth mindset	https://www.youtube.com/watch?v=gLWWXZTSoq4	196.0	Khan_Academy_gLWWXZTSoq4	edu.education.pedagogy.teachingprinciples	Teaching	Teacher Training	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	conversation.formal	Conversations	Simultaneous Presenters	Khan_Academy
남아공 쇼핑몰은 어떤 모습일까? Shopping in SA Vlog [EngSub]	https://www.youtube.com/watch?v=H-mD5i8tYc4	379.0	Lindie_Botes_H-mD5i8tYc4	language.internationallanguage	Languages	Languages	Education	vlog	Selfie Camera (Vlog)	Video Journal (Vlogs)	vlog.daily	Personal Anecdotes	Personal Anecdotes/Vlogs	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	Lindie_Botes
Best Dreamweaver Tutorials: Optimize Images for Web Deployment	https://www.youtube.com/watch?v=0Lu8aeYTyug	197.0	David_Taylor_0Lu8aeYTyug	skills.digital.graphicdesign	Design/Editing Tutorials	Tech & Creative Tutorials	How-To & Tutorials	screencast	Screencast	Screencast	news.technology	News	News	News/Commentary	talkinghead.framecorner	Talking Head - Corner	Single Presenter	David_Taylor
How Musicians are Soundtracking this Weird Year	https://www.youtube.com/watch?v=Bwsne4eMVyU	621.0	PBS_Voices_Bwsne4eMVyU	entertainment.music	Music (Entertainment)	Music & Performance	Entertainment	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	edu.arts.music	Music (Educational)	Arts & Literature	Education	conversation.casual	Conversations	Simultaneous Presenters	PBS_Voices
MINI GOPRO! HERO4 Session: Full Review, Tests, Comparison Footage (WIRED)	https://www.youtube.com/watch?v=xxiCVu_SdDw	365.0	WIRED_xxiCVu_SdDw	misc.productreview	Product Reviews	Product Reviews	Reviews	pov.realworld	Point of View Camera (Vlog)	Video Journal (Vlogs)	entertainment.sports.adventure	Sports & Adventure	Sports & Adventure	Entertainment	screencast	Screencast	Screencast	WIRED
How To Be A Genius	https://www.youtube.com/watch?v=-HL3PPNrUhU	188.0	The_School_of_Life_-HL3PPNrUhU	growth.motivational	Personal Development	Personal Development	Lifestyle & Wellbeing	crafts.cutouts	Paper Cutouts	Animations	edu.humanities.philosophy	Philosophy	Humanities	Education	animated.info	Infographics	Infographics/Slidedeck	The_School_of_Life
What Do Women Actually Want From Men? - World’s #1 Female Dating Coach Matthew Hussey	https://www.youtube.com/watch?v=efmd7LgrXB0	853.0	Chris_Williamson_efmd7LgrXB0	entertainment.reality.dating	Relationships	Relationships & Dating	Lifestyle & Wellbeing	conversation.podcast	Conversations	Simultaneous Presenters	edu.social.psychology	Psychology	Social Sciences	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	Chris_Williamson
Unboxing The 8K Action Camera	https://www.youtube.com/watch?v=QptbdEci-m8	551.0	Unbox_Therapy_QptbdEci-m8	misc.unboxing	Product Reviews	Product Reviews	Reviews	pov.realworld	Point of View Camera (Vlog)	Video Journal (Vlogs)	misc.productreview	Product Reviews	Product Reviews	Reviews	talkinghead.frameregular	Talking Head - Center	Single Presenter	Unbox_Therapy
What causes heartburn? - Rusha Modi	https://www.youtube.com/watch?v=jP-9AD0wMOk	295.0	TED_Ed_jP-9AD0wMOk	edu.medicine.gastroenterology	Medicine	Medical Sciences	Education	crafts.cutouts	Paper Cutouts	Animations	news.health	News	News	News/Commentary	animated.info	Infographics	Infographics/Slidedeck	TED_Ed
Top 15 Canva Tips for Productivity!	https://www.youtube.com/watch?v=2XqSMu9KVY0	505.0	Jeff_Su_2XqSMu9KVY0	skills.digital.graphicdesign	Design/Editing Tutorials	Tech & Creative Tutorials	How-To & Tutorials	screencast	Screencast	Screencast	vlog.daily	Personal Anecdotes	Personal Anecdotes/Vlogs	Entertainment	talkinghead.frameregular	Talking Head - Center	Single Presenter	Jeff_Su
Types of hormones | Endocrine system physiology | NCLEX-RN | Khan Academy	https://www.youtube.com/watch?v=KSclrkk_Ako	602.0	Khan_Academy_KSclrkk_Ako	edu.medicine.endocrinology	Medicine	Medical Sciences	Education	writing.stylus	Digital Writing (use of a cursor)	Instructional	edu.medicine.physiology	Medicine	Medical Sciences	Education	animated.graphics	Motion Graphics	Animations	Khan_Academy
NYC Business Owner Accused of Money Laundering or Tax Evasion? Financial Crimes Defense Attorney	https://www.youtube.com/watch?v=k5pru2ttygo	629.0	AskTheLawyers_k5pru2ttygo	edu.social.law	Law	Social Sciences	Education	paneldiscussion.virtual	Panel Discussion - Virtual	Simultaneous Presenters	edu.business.economics	Economics	Business & Economics	Education	conversation.formal	Conversations	Simultaneous Presenters	AskTheLawyers
What is inside a hair dryer? (2 of 2) | Electrical engineering | Khan Academy	https://www.youtube.com/watch?v=Vq7EOmvU1eQ	704.0	Khan_Academy_Vq7EOmvU1eQ	edu.stem.engineering.electrical	Engineering	Engineering	Education	practicaldemonstration.engineering	Physical Demo	Physical Demo	edu.stem.engineering.electronics	Engineering	Engineering	Education	writing.hand	Writing Hand (No head visible)	Instructional	Khan_Academy
How to Fix your Laptop	https://www.youtube.com/watch?v=d_H054zwCOY	369.0	ElectroBOOM_d_H054zwCOY	skills.diy.homeimprovement	DIY & Crafts	DIY & Crafts	How-To & Tutorials	practicaldemonstration.engineering	Physical Demo	Physical Demo	edu.stem.engineering.electronics	Engineering	Engineering	Education	talkinghead.frameregular	Talking Head - Center	Single Presenter	ElectroBOOM
