Video	title	url	format_label_1	format_hierarchy_1	format_label_2	format_hierarchy_2	gt_format_label_1	gt_format_hierarchy_1	gt_format_label_2	gt_format_hierarchy_2	annotated_at	annotator_id
National_Geographic__ermvCDJzts	Upturning Tornadoes | Explorers in the Field	https://www.youtube.com/watch?v=_ermvCDJzts	Documentary Style	Documentaries	Animated Graphics	Graphics	Documentary Style	Documentaries	Infographics	Graphics	2025-07-29T00:18:27.109862	kaatje
National_Geographic_LwwVnUekpeE	Albatrosses' Life-Long Bond Begins With Elaborate Courtship – Ep. 3 | Wildlife: Resurrection Island	https://www.youtube.com/watch?v=LwwVnUekpeE	Documentary Style	Documentaries	Vlog	Vlog	Documentary Style	Documentaries	Infographics	Graphics	2025-07-29T00:20:49.756809	kaatje
Cooking_With_Claudia_LhRKV45nErk	SUPER MOIST Lemon Cupcakes Recipe - How to make the best Lemon Cupcakes	https://www.youtube.com/watch?v=LhRKV45nErk	Vlog	Vlog	Cooking	Demonstrations	Cooking	Demonstrations	Talking Head - Center	Talking Head	2025-07-29T00:21:30.972251	kaatje
National_Geographic_6LjvUPADFtM	Can We Use Bacteria to Treat Diseases? | Nat Geo Live	https://www.youtube.com/watch?v=6LjvUPADFtM	Stage Talks	Stage Talks	Infographics	Graphics	Stage Talks	Stage Talks	Slidedecks	Slidedecks	2025-07-29T00:22:21.659041	kaatje
RottenTomatoes_3b3QfYo5Sm8	Halloween (2018) UNCUT Comic-Con Interview | Rotten Tomatoes	https://www.youtube.com/watch?v=3b3QfYo5Sm8	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-29T00:23:58.035454	kaatje
Fox_US_News_qeoq8x9_xDw	Gutfeld: How many wakes are caused by the woke?	https://www.youtube.com/watch?v=qeoq8x9_xDw	Talking Head - Corner	Talking Head	Panel - In Person	Panel	Panel - In Person	Panel	Interviews	Interviews	2025-07-29T00:25:19.651388	kaatje
Dope_SPvKoV7g80U	AMERICANS TRY INDIAN SNACKS	https://www.youtube.com/watch?v=SPvKoV7g80U	Talking Head - Center	Talking Head	Vlog	Vlog	Talkshows	Interviews	Documentary Style	Documentaries	2025-07-29T00:26:45.386945	kaatje
Facts_YriQwKvrXaw	People Date Whilst Eating The World's Hottest Wings (Carolina Reaper)	https://www.youtube.com/watch?v=YriQwKvrXaw	Talkshows	Interviews			Talkshows	Interviews	Talking Head - Center	Talking Head	2025-07-29T00:28:43.845070	kaatje
National_Geographic_Uja_QE4cZV0	Stunning Close-ups: Meet These Frogs Before They Go Extinct | National Geographic	https://www.youtube.com/watch?v=Uja_QE4cZV0	Surveillance Cam	Others			Documentary Style	Documentaries	Talking Head - Center	Talking Head	2025-07-29T00:31:06.172009	kaatje
Allure_GTSON1x3rgk	Victoria Monét Breaks Down Her Iconic Music Video Fashion | Allure	https://www.youtube.com/watch?v=GTSON1x3rgk	Talking Head - Center	Talking Head	Interviews	Interviews	Talking Head - Center	Talking Head	Talking Head - Corner	Talking Head	2025-07-29T00:31:59.986258	kaatje
OxfordUnion_1bGqqBSLCdc	Social Media Does NOT Corrupt Human Interactions | Liam Hackett | Part 4 of 6	https://www.youtube.com/watch?v=1bGqqBSLCdc	Stage Talks	Stage Talks	Panel - In Person	Panel	Stage Talks	Stage Talks	Talking Head - Center	Talking Head	2025-07-29T00:33:16.464630	kaatje
BuzzFeed_Celeb_zJd8Gtw5SpY	BTOB Finds Out Which Members They Really Are	https://www.youtube.com/watch?v=zJd8Gtw5SpY	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T00:34:00.499136	kaatje
Khan_Academy_NiaCGBX9Zig	Perceive | Vocabulary | Khan Academy	https://www.youtube.com/watch?v=NiaCGBX9Zig	Writing Cursor	Writing Cursor	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Infographics	Graphics	2025-07-29T00:34:52.621566	kaatje
Nerdwriter1_MvC6kwU3zgA	Why So Much Tax Money Is Wasted	https://www.youtube.com/watch?v=MvC6kwU3zgA	Infographics	Graphics	Animated Graphics	Graphics	Documentary Style	Documentaries	Animated Graphics	Graphics	2025-07-29T00:36:11.615864	kaatje
Nerdwriter1_LN-Fv4OlHj0	Vlog #53 - Did Shakespeare Invent Love?	https://www.youtube.com/watch?v=LN-Fv4OlHj0	Talking Head - Center	Talking Head			Talking Head - Center	Talking Head	Vlog	Vlog	2025-07-29T00:37:04.549141	kaatje
WIRED_Zr7LA3cU5o0	Bridgerton Cast Answer The Web's Most Searched Questions | WIRED	https://www.youtube.com/watch?v=Zr7LA3cU5o0	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T00:37:42.791365	kaatje
Variety_vsKxNdsVLjs	‘Joker’ Becomes First R-Rated Movie to Hit $1 Billion	https://www.youtube.com/watch?v=vsKxNdsVLjs	Panel - In Person	Panel			Talking Head - Center	Talking Head	Infographics	Graphics	2025-07-29T00:38:31.191009	kaatje
Patrick_Willems_k-MTD_Z5qtQ	A MAJOR ANNOUNCEMENT	https://www.youtube.com/watch?v=k-MTD_Z5qtQ	Podcast	Interviews			Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T00:39:18.970975	kaatje
RottenTomatoes_7-r9v5xbHG8	Football: Glory on the Gridiron - Ultimate American Football Movie Mashup	https://www.youtube.com/watch?v=7-r9v5xbHG8	Documentary Style	Documentaries	Cutout	Animations	Documentary Style	Documentaries	Point of View	Vlog	2025-07-29T00:41:34.207252	kaatje
Dope_EBoFL6lNwBo	MOVIE QUOTE CHALLENGE | Justin James Hughes	https://www.youtube.com/watch?v=EBoFL6lNwBo	Panel - In Person	Panel	Interviews	Interviews	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T00:49:20.292182	kaatje
Insane_Curiosity_DuWYInQEP64	What If We Colonize Mars?	https://www.youtube.com/watch?v=DuWYInQEP64	Animated Graphics	Graphics	Cartoon	Animations	Infographics	Graphics	Animated Graphics	Graphics	2025-07-29T00:50:54.555895	kaatje
Conan_OBrien_WnRlH2fl9jU	Penn & Teller Teach Conan Sleight Of Hand | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=WnRlH2fl9jU	Interviews	Interviews	Talkshows	Interviews	Stage Talks	Stage Talks	Talkshows	Interviews	2025-07-29T01:01:18.398252	kaatje
Sprouts_thFlKOqHJog	The Future of Work: An Economic Theory by David Autor	https://www.youtube.com/watch?v=thFlKOqHJog	Comic Panel Style	Animations	Cartoon	Animations	Comic Panel Style	Animations	Infographics	Graphics	2025-07-29T01:01:59.217127	kaatje
OxfordUnion_2ye5rAyZSUo	Bim Afolami MP | Meritocracy Debate | Opposition (6/8) | Oxford Union	https://www.youtube.com/watch?v=2ye5rAyZSUo	Panel - In Person	Panel	Stage Talks	Stage Talks	Stage Talks	Stage Talks	Talking Head - Center	Talking Head	2025-07-29T01:02:44.415067	kaatje
Saturday_Night_Live_ZQYvmu-affA	Doctor's Visit - SNL	https://www.youtube.com/watch?v=ZQYvmu-affA	Skit	Skit	Unedited Footage	Others	Skit	Skit	Talking Head - Center	Talking Head	2025-07-29T01:04:57.810922	kaatje
Unbox_Therapy_QcKUNTb-kzw	The Black Friday Deals They Won't Show You...	https://www.youtube.com/watch?v=QcKUNTb-kzw	Interviews	Interviews	Talking Head - Center	Talking Head	Talking Head - Center	Talking Head	Vlog	Vlog	2025-07-29T01:05:47.082257	kaatje
RottenTomatoes_5EPWNVcXbHU	Marcel the Shell with Shoes On Trailer #1 (2022) | Movieclips Trailers	https://www.youtube.com/watch?v=5EPWNVcXbHU	Documentary Style	Documentaries			Cutout	Animations	Cartoon	Animations	2025-07-29T01:06:17.989596	kaatje
AskTheLawyers_cExNvOmWu2c	What to Do if You’re Hit By a Car as a Pedestrian	https://www.youtube.com/watch?v=cExNvOmWu2c	Talking Head - Corner	Talking Head			Talking Head - Center	Talking Head	Talking Head - Corner	Talking Head	2025-07-29T01:06:55.892288	kaatje
Hacksmith_Industries_wNMKpvDccZo	Make it Real: Game of Thrones Battle Shields!	https://www.youtube.com/watch?v=wNMKpvDccZo	Vlog	Vlog	Point of View	Vlog	Experiments	Demonstrations	Talking Head - Center	Talking Head	2025-07-29T01:07:42.859611	kaatje
Seth_Meyers_TQdlbT-wL-0	Annaleigh Ashford Shares What Working with Stephen Sondheim Was Like	https://www.youtube.com/watch?v=TQdlbT-wL-0	Interviews	Interviews			Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T01:08:31.259724	kaatje
French_Cooking_Academy_SKihmJJeLy8	Pork cutlets with cream and mushroom sauce | French Bistro Recipes	https://www.youtube.com/watch?v=SKihmJJeLy8	Cooking	Demonstrations	Talking Head - Center	Talking Head	Cooking	Demonstrations	Talking Head - Center	Talking Head	2025-07-29T01:09:12.030011	kaatje
PBS_Origins_Zll40_3i0TI	How Columbus Invented Cannibals	https://www.youtube.com/watch?v=Zll40_3i0TI	Talking Head - Center	Talking Head	Slidedecks	Slidedecks	Talking Head - Center	Talking Head	Infographics	Graphics	2025-07-29T01:10:12.008682	kaatje
Fireship_JSURzPQnkl0	3 More Life-Changing CSS Tips	https://www.youtube.com/watch?v=JSURzPQnkl0	Screencasts	Screencasts	Static Screen	Others	Screencasts	Screencasts	Screencasts	Screencasts	2025-07-29T01:11:49.273036	kaatje
Khan_Academy_bh1UrCGWz1k	Infinite series as limit of partial sums | Series | AP Calculus BC | Khan Academy	https://www.youtube.com/watch?v=bh1UrCGWz1k	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Infographics	Graphics	2025-07-29T01:12:35.030861	kaatje
AsapSCIENCE_e8kHyee1z7w	Are You More Forgetful Than A Fish?	https://www.youtube.com/watch?v=e8kHyee1z7w	Cartoon	Animations	Infographics	Graphics	Writing Hand	Writing Hand	Whieboard	Writing Board	2025-07-29T01:13:22.849340	kaatje
Conan_OBrien_gGonAh0SgaY	Conan Used To Make Up Characters On The Basketball Court | Conan O'Brien Needs A Fan	https://www.youtube.com/watch?v=gGonAh0SgaY	Interviews	Interviews	Talking Head - Center	Talking Head	Podcast	Interviews	Talking Head - Center	Talking Head	2025-07-29T01:13:51.089469	kaatje
RottenTomatoes_U6uNt6h3_bM	Rambo (7/12) Movie CLIP - Live for Nothing or Die for Something (2008) HD	https://www.youtube.com/watch?v=U6uNt6h3_bM	Unedited Footage	Others	Talking Head - Center	Talking Head	Documentary Style	Documentaries	Unedited Footage	Others	2025-07-29T01:14:59.908318	kaatje
Seth_Meyers_nCypQobtmpw	Anthony Bourdain Was Labeled a Mossad Agent by Romanian Newspapers	https://www.youtube.com/watch?v=nCypQobtmpw	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-29T01:17:21.394977	kaatje
TED_1Bj-zXkVi68	Yo! Have You Ever Seen a Yo-Yo Dance Like This? | Shu Takada | TED	https://www.youtube.com/watch?v=1Bj-zXkVi68	Stage Talks	Stage Talks	Dance	Others	Stage Talks	Stage Talks	Dance	Others	2025-07-29T01:18:39.448355	kaatje
Facts_ndIHoyzRpjc	Irish People Try Pop Rocks	https://www.youtube.com/watch?v=ndIHoyzRpjc	Interviews	Interviews			Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T01:19:08.570724	kaatje
eHowEducation_AMBzryMwiQ0	How to Add Fractions With Variables & Whole Numbers	https://www.youtube.com/watch?v=AMBzryMwiQ0	Talking Head - Corner	Talking Head			Glassboard	Writing Board	Talking Head - Center	Talking Head	2025-07-29T01:19:43.912017	kaatje
Conan_OBrien_r8JDiKMNrQU	Late Night Scandals (Feat. Ellie Kemper) | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=r8JDiKMNrQU	Interviews	Interviews	Talkshows	Interviews	Skit	Skit	Talking Head - Center	Talking Head	2025-07-29T01:20:13.388172	kaatje
Khan_Academy_Ws63I3F7Moc	Origin of Markov chains | Journey into information theory | Computer Science | Khan Academy	https://www.youtube.com/watch?v=Ws63I3F7Moc	Animated Graphics	Graphics	Infographics	Graphics	Writing Cursor	Writing Cursor	Screencasts	Screencasts	2025-07-29T01:21:06.967993	kaatje
CNN_US_News_p4SUFm9b4xc	'Ignorant and rude': Trump offends this voter, but he's voting for him anyway. Hear why	https://www.youtube.com/watch?v=p4SUFm9b4xc	Documentary Style	Documentaries	Interviews	Interviews	Talking Head - Center	Talking Head	Documentary Style	Documentaries	2025-07-29T01:21:51.033582	kaatje
Practical_Engineering_Srr0fTnaHdQ	Turning Two Segmented Bowls on the Lathe - Maple with Mahogany Accents	https://www.youtube.com/watch?v=Srr0fTnaHdQ	Animated Graphics	Graphics	Infographics	Graphics	Experiments	Demonstrations	Animated Graphics	Graphics	2025-07-29T01:24:27.312326	kaatje
National_Geographic_K6TnWW1s4hE	Baby Bison Takes on Wolf and Wins | America's National Parks	https://www.youtube.com/watch?v=K6TnWW1s4hE	Documentary Style	Documentaries	Surveillance Cam	Others	Documentary Style	Documentaries	Infographics	Graphics	2025-07-29T01:25:05.268105	kaatje
RottenTomatoes_ZzOzVT2o2BU	New York Car Chase - Shaft (5/9) Movie CLIP (2000) HD	https://www.youtube.com/watch?v=ZzOzVT2o2BU	Surveillance Cam	Others	Unedited Footage	Others	Point of View	Vlog	Documentary Style	Documentaries	2025-07-29T01:25:31.687848	kaatje
Steve_Kaufmann_IV67smoXIMM	Tips for Learning Spanish Verbs	https://www.youtube.com/watch?v=IV67smoXIMM	Talking Head - Center	Talking Head			Talking Head - Center	Talking Head	Vlog	Vlog	2025-07-29T01:26:11.068357	kaatje
WIRED_Y18NYGlIukM	Climb Aboard a Boeing 747 That NASA Turned Into the World's Biggest Flying Telescope | WIRED	https://www.youtube.com/watch?v=Y18NYGlIukM	Unedited Footage	Others	Surveillance Cam	Others	Documentary Style	Documentaries	Stage Talks	Stage Talks	2025-07-29T01:26:56.270347	kaatje
Khan_Academy_VmFX6AIzllE	American attitudes about government and politics | US government and civics | Khan Academy	https://www.youtube.com/watch?v=VmFX6AIzllE	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Infographics	Graphics	2025-07-29T01:27:34.507709	kaatje
The_School_of_Life_2Xi2ty-uHe0	7 Secrets of Therapy	https://www.youtube.com/watch?v=2Xi2ty-uHe0	Animated Graphics	Graphics	Cartoon	Animations	Animated Graphics	Graphics	Infographics	Graphics	2025-07-29T01:28:17.373099	kaatje
RottenTomatoes_8TJk9N4RrNM	The Blair Witch Project (6/8) Movie CLIP - We're Still Alive 'Cause We're Smoking (1999) HD	https://www.youtube.com/watch?v=8TJk9N4RrNM	Unedited Footage	Others	Surveillance Cam	Others	Point of View	Vlog	Documentary Style	Documentaries	2025-07-29T01:28:39.752160	kaatje
RottenTomatoes_gcPY3RIvtCw	The Best Little Whorehouse in Texas (1982) - Hard Candy Christmas Scene (9/10) | Movieclips	https://www.youtube.com/watch?v=gcPY3RIvtCw	Unedited Footage	Others	Documentary Style	Documentaries	Talkshows	Interviews	Talking Head - Center	Talking Head	2025-07-29T01:29:15.086990	kaatje
Real_Time_Bill_Maher_Jp6977O-wpQ	Overtime: Heather McGhee, Sarah Haider, Andrew Sullivan, Timothy Naftali | Real Time (HBO)	https://www.youtube.com/watch?v=Jp6977O-wpQ	Panel - In Person	Panel	Talkshows	Interviews	Panel - In Person	Panel	Talking Head - Center	Talking Head	2025-07-29T01:29:52.887571	kaatje
RottenTomatoes_Rj9fUYRr81A	Spy Kids 3-D: Game Over (9/11) Movie CLIP - The Deceiver (2003) HD	https://www.youtube.com/watch?v=Rj9fUYRr81A	Unedited Footage	Others	Documentary Style	Documentaries	Stage Talks	Stage Talks	Animated Graphics	Graphics	2025-07-29T01:30:15.189295	kaatje
AsapSCIENCE_-lzQxbcrscc	The Biggest Lie About AI	https://www.youtube.com/watch?v=-lzQxbcrscc	Cartoon	Animations	Cutout	Animations	Writing Hand	Writing Hand	Animated Graphics	Graphics	2025-07-29T01:31:13.028286	kaatje
Khan_Academy_3_DxJwDTbyQ	Recognizing direct and inverse variation | Rational expressions | Algebra II | Khan Academy	https://www.youtube.com/watch?v=3_DxJwDTbyQ	Writing Cursor	Writing Cursor			Writing Cursor	Writing Cursor	Whieboard	Writing Board	2025-07-29T01:33:09.368526	kaatje
Peekaboo_Kidz_tRJ3quIAuIY	What If You Fell In A Quicksand? | How to Survive QUICKSAND | Dr Binocs Show | Peekaboo Kidz	https://www.youtube.com/watch?v=tRJ3quIAuIY	Cartoon	Animations	Animated Graphics	Graphics	Cartoon	Animations	Infographics	Graphics	2025-07-29T01:33:53.349710	kaatje
RottenTomatoes_WsHqQAfZvc4	Kung Fu Panda 2 (2011) - Rickshaw Chase Scene (4/10) | Movieclips	https://www.youtube.com/watch?v=WsHqQAfZvc4	Cartoon	Animations	Cutout	Animations	Cartoon	Animations	Animated Graphics	Graphics	2025-07-29T01:34:43.202954	kaatje
eHowEducation_6FJW7FINRAA	What Are Five Branches of Chemistry? : Chemistry Lessons	https://www.youtube.com/watch?v=6FJW7FINRAA	Whieboard	Writing Board	Talking Head - Center	Talking Head	Talking Head - Center	Talking Head	Writing Hand	Writing Hand	2025-07-29T01:36:13.263220	kaatje
Gordon_Ramsay_WysiAYJHRCE	Gordon Ramsay FURIOUS At Lying Chef | Hotel Hell	https://www.youtube.com/watch?v=WysiAYJHRCE	Documentary Style	Documentaries			Documentary Style	Documentaries	Cooking	Demonstrations	2025-07-29T01:36:39.918417	kaatje
Facts_ZKtKJPymTpI	Irish People Watch Love At First Kiss For The First Time	https://www.youtube.com/watch?v=ZKtKJPymTpI	Interviews	Interviews			Talking Head - Corner	Talking Head	Talkshows	Interviews	2025-07-29T01:37:12.291885	kaatje
RottenTomatoes_ancPibgH6Bw	The Dark Knight Rises (2012) - Broken Bat Scene (3/10) | Movieclips	https://www.youtube.com/watch?v=ancPibgH6Bw	Surveillance Cam	Others			Documentary Style	Documentaries	Talking Head - Corner	Talking Head	2025-07-29T01:37:44.458988	kaatje
Simplilearn_XLP4YTpUpBI	The Rise Of Technology-Augmented Reality(AR), Virtual Reality(VR) And Mixed Reality(MR) |Simplilearn	https://www.youtube.com/watch?v=XLP4YTpUpBI	Cartoon	Animations	Animated Graphics	Graphics	Animated Graphics	Graphics	Infographics	Graphics	2025-07-29T01:38:21.809487	kaatje
Practical_Wisdom_Interesting_Ideas_lt9rHqQPmWc	Signs You’ve Jumped From Middle Class to Wealthy	https://www.youtube.com/watch?v=lt9rHqQPmWc	Infographics	Graphics			Documentary Style	Documentaries	Animated Graphics	Graphics	2025-07-29T01:38:50.808246	kaatje
Aunty_Donna_7QrLEOHhrpU	Dishonored 2: Broden Review - Insert Coin Ep02	https://www.youtube.com/watch?v=7QrLEOHhrpU	Talking Head - Corner	Talking Head	Screencasts	Screencasts	Talking Head - Corner	Talking Head	Games	Gaming	2025-07-29T01:39:21.927562	kaatje
The_Late_Show_Stephen_Colbert_EJBAT6-sUtU	Thomas Middleditch Is No N00b To Gaming	https://www.youtube.com/watch?v=EJBAT6-sUtU	Interviews	Interviews			Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-29T01:39:44.071035	kaatje
Khan_Academy_5Ixp_0r5YWk	Nernst equation | Physical Processes | MCAT | Khan Academy	https://www.youtube.com/watch?v=5Ixp_0r5YWk	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Talking Head - Corner	Talking Head	2025-07-29T01:40:05.188551	kaatje
Gordon_Ramsay_-bX5_SujNfk	Gordon is Completely Appalled by Hoarder Hotel | Hotel Hell	https://www.youtube.com/watch?v=-bX5_SujNfk	Surveillance Cam	Others			Documentary Style	Documentaries	Talking Head - Center	Talking Head	2025-07-29T01:40:49.548007	kaatje
Deep_Dive_Ali_Abdaal_qBnfsYRA9cI	Advice Every 20 Year Old Needs To Hear	https://www.youtube.com/watch?v=qBnfsYRA9cI	Interviews	Interviews	Talkshows	Interviews	Podcast	Interviews	Talking Head - Center	Talking Head	2025-07-29T01:41:59.428607	kaatje
TED_Ed_e0uyu9vdd2g	The last chief of the Comanches and the fall of an empire - Dustin Tahmahkera	https://www.youtube.com/watch?v=e0uyu9vdd2g	Cartoon	Animations	Animated Graphics	Graphics	Infographics	Graphics	Documentary Style	Documentaries	2025-07-29T01:42:35.192240	kaatje
RottenTomatoes_scDWdIV7Fes	Madonna: Truth or Dare (7/8) Movie CLIP - Vogue (1991) HD	https://www.youtube.com/watch?v=scDWdIV7Fes	Documentary Style	Documentaries			Dance	Others	Documentary Style	Documentaries	2025-07-29T01:43:09.750908	kaatje
Khan_Academy_xKNX8BUWR0g	Surjective (onto) and injective (one-to-one) functions | Linear Algebra | Khan Academy	https://www.youtube.com/watch?v=xKNX8BUWR0g	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Animated Graphics	Graphics	2025-07-29T01:43:38.432205	kaatje
LEARN_xD36blv9zbQ	LEARN - How to Interpret a Picture - Part 2 - Like a Historian	https://www.youtube.com/watch?v=xD36blv9zbQ	Interviews	Interviews	Animated Graphics	Graphics	Infographics	Graphics	Animated Graphics	Graphics	2025-07-29T01:44:28.828864	kaatje
Jimmy_Fallon_DBV_bQiSpck	The Voidz: 7 Horses | The Tonight Show Starring Jimmy Fallon	https://www.youtube.com/watch?v=DBV_bQiSpck	Interviews	Interviews	Stage Talks	Stage Talks	Stage Talks	Stage Talks	Talking Head - Center	Talking Head	2025-07-29T01:45:23.510033	kaatje
RottenTomatoes_rA69NDoXRhI	Dying of the Light (2014) - What's Left of My Time Scene (3/10) | Movieclips	https://www.youtube.com/watch?v=rA69NDoXRhI	Unedited Footage	Others	Surveillance Cam	Others	Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-29T01:46:12.590928	kaatje
TED_Ed_zLAYGZeVTPQ	The myth of Hades and Persephone - Iseult Gillespie	https://www.youtube.com/watch?v=zLAYGZeVTPQ	Cartoon	Animations	Documentary Style	Documentaries	Cartoon	Animations	Infographics	Graphics	2025-07-29T01:46:38.368822	kaatje
ElectroBOOM_SVepW3f_V-M	Making a High Voltage Fuse	https://www.youtube.com/watch?v=SVepW3f_V-M	Experiments	Demonstrations			Experiments	Demonstrations	Talking Head - Center	Talking Head	2025-07-29T01:47:12.396579	kaatje
Peekaboo_Kidz_Y_RMjmMtjOY	The Mummification Process | How Mummies Were Made? | How Egyptians Mummified Bodies? | Dr. Binocs	https://www.youtube.com/watch?v=Y_RMjmMtjOY	Cartoon	Animations	Animated Graphics	Graphics	Infographics	Graphics	Cartoon	Animations	2025-07-29T01:49:01.029104	kaatje
SecondThought_5gxsk_zy9pk	First Contact Part 1: How Prepared Are We?	https://www.youtube.com/watch?v=5gxsk_zy9pk	Animated Graphics	Graphics			Animated Graphics	Graphics	Infographics	Graphics	2025-07-29T01:50:28.773412	kaatje
Psych_Hub_Wn4AVjMMYX4	LGBTQ Youth	https://www.youtube.com/watch?v=Wn4AVjMMYX4	Animated Graphics	Graphics	Cartoon	Animations	Infographics	Graphics	Animated Graphics	Graphics	2025-07-29T01:51:14.298486	kaatje
Sprouts_rZfAsbhfL_Y	Bruner’s 3 Steps of Learning in a Spiral Curriculum	https://www.youtube.com/watch?v=rZfAsbhfL_Y	Cartoon	Animations	Animated Graphics	Graphics	Comic Panel Style	Animations	Animated Graphics	Graphics	2025-07-29T01:52:04.795060	kaatje
Learn_Bright_vG6d_ytRdiI	ASL Angles for Kids	https://www.youtube.com/watch?v=vG6d_ytRdiI	Talking Head - Corner	Talking Head	Screencasts	Screencasts	Chalkboard	Writing Board	Talking Head - Center	Talking Head	2025-07-29T01:53:25.768036	kaatje
SmarterEveryDay_NwR6xKkHOyM	Cuteness Overload | Project for Awesome 2014	https://www.youtube.com/watch?v=NwR6xKkHOyM	Surveillance Cam	Others			Vlog	Vlog	Skit	Skit	2025-07-29T01:54:40.839907	kaatje
BuzzFeed_Celeb_WbbTIO-trSk	"The Cast Of ""Lucifer"" Finds Out Which Characters They Really Are"	https://www.youtube.com/watch?v=WbbTIO-trSk	Interviews	Interviews	Panel - Virtual	Panel	Panel - Virtual	Panel	Talking Head - Center	Talking Head	2025-07-29T01:55:00.155936	kaatje
Fireship_QQu1_bf1Bdo	YouTube's high-stakes war on Ad Blockers	https://www.youtube.com/watch?v=QQu1_bf1Bdo	Documentary Style	Documentaries	Animated Graphics	Graphics	Screencasts	Screencasts	Animated Graphics	Graphics	2025-07-29T01:55:44.096503	kaatje
