Video	title	url	format_label_1	format_hierarchy_1	format_label_2	format_hierarchy_2	gt_format_label_1	gt_format_hierarchy_1	gt_format_label_2	gt_format_hierarchy_2	annotated_at	annotator_id
Facts_YriQwKvrXaw	People Date Whilst Eating The World's Hottest Wings (Carolina Reaper)	https://www.youtube.com/watch?v=YriQwKvrXaw	Panel - In Person	Panel			Talkshows	Interviews	Talking Head - Center	Talking Head	2025-07-26T21:35:12.257915	yusuf
Aunty_Donna_7QrLEOHhrpU	Dishonored 2: Broden Review - Insert Coin Ep02	https://www.youtube.com/watch?v=7QrLEOHhrpU	Screencasts	Screencasts	Talking Head - Center	Talking Head	Talking Head - Corner	Talking Head	Games	Gaming	2025-07-29T03:15:15.393961	yusuf
The_School_of_Life_2Xi2ty-uHe0	7 Secrets of Therapy	https://www.youtube.com/watch?v=2Xi2ty-uHe0	Cartoon	Animations	Animated Graphics	Graphics	Animated Graphics	Graphics	Infographics	Graphics	2025-07-29T03:16:41.074088	yusuf
Psych_Hub_kaxFzln7ssE	What is Schizophrenia?	https://www.youtube.com/watch?v=kaxFzln7ssE	Cartoon	Animations	Animated Graphics	Graphics	Infographics	Graphics	Cartoon	Animations	2025-07-29T03:17:19.675094	yusuf
Facts_HW7F-M8Rcjo	Irish People Try To Explain Emoji Meanings	https://www.youtube.com/watch?v=HW7F-M8Rcjo	Interviews	Interviews	Panel - In Person	Panel	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T03:18:12.242756	yusuf
Khan_Academy_Yeie-aJT2eU	Divergence intuition, part 2	https://www.youtube.com/watch?v=Yeie-aJT2eU	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Animated Graphics	Graphics	2025-07-29T03:19:12.873142	yusuf
Khan_Academy_6zdkeZ_UDXY	Recognition | Vocabulary | Khan Academy	https://www.youtube.com/watch?v=6zdkeZ_UDXY	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Infographics	Graphics	2025-07-29T03:19:45.427811	yusuf
Facts_ZKtKJPymTpI	Irish People Watch Love At First Kiss For The First Time	https://www.youtube.com/watch?v=ZKtKJPymTpI	Screencasts	Screencasts	Talking Head - Corner	Talking Head	Talking Head - Corner	Talking Head	Talkshows	Interviews	2025-07-29T03:20:21.866819	yusuf
Simplilearn_Nj3Ez95M-ys	Top 10 Richest People In The World 2023 | World's Richest Billionaires | Simplilearn	https://www.youtube.com/watch?v=Nj3Ez95M-ys	Slidedecks	Slidedecks	Documentary Style	Documentaries	Infographics	Graphics	Talking Head - Center	Talking Head	2025-07-29T03:21:15.852756	yusuf
Seth_Meyers_TQdlbT-wL-0	Annaleigh Ashford Shares What Working with Stephen Sondheim Was Like	https://www.youtube.com/watch?v=TQdlbT-wL-0	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Talkshows	Interviews	2025-07-29T03:22:11.908426	yusuf
Conan_OBrien_Z8s-NRK37is	"Ricky Gervais Helps Americans Understand ""The Office"" | Late Night with Conan O’Brien"	https://www.youtube.com/watch?v=Z8s-NRK37is	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-29T03:22:50.407568	yusuf
Vox_aqNHc6ZH7P4	How Trump turned Sean Hannity into a conspiracy theorist	https://www.youtube.com/watch?v=aqNHc6ZH7P4	Documentary Style	Documentaries	Talking Head - Corner	Talking Head	Documentary Style	Documentaries	Talking Head - Center	Talking Head	2025-07-29T03:23:37.734553	yusuf
Allure_acreItF_FwI	Demi Lovato Revisits Beauty Looks From Their Past	https://www.youtube.com/watch?v=acreItF_FwI	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Documentary Style	Documentaries	2025-07-29T03:24:15.747276	yusuf
The_B1M_V4awZOrzyjo	Why There Are No Megatall Skyscrapers in New York	https://www.youtube.com/watch?v=V4awZOrzyjo	Documentary Style	Documentaries	Infographics	Graphics	Documentary Style	Documentaries	Infographics	Graphics	2025-07-29T03:25:10.069575	yusuf
RottenTomatoes_zuSBq10_5go	Venom (2018) - Venom vs. Riot Scene (8/10) | Movieclips	https://www.youtube.com/watch?v=zuSBq10_5go	Unedited Footage	Others	Surveillance Cam	Others	Surveillance Cam	Others	Documentary Style	Documentaries	2025-07-29T03:25:41.487427	yusuf
Khan_Academy_Za7G_eWKiF4	Independent or dependent probability event? | Precalculus | Khan Academy	https://www.youtube.com/watch?v=Za7G_eWKiF4	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Infographics	Graphics	2025-07-29T03:26:24.029971	yusuf
Gordon_Ramsay_WysiAYJHRCE	Gordon Ramsay FURIOUS At Lying Chef | Hotel Hell	https://www.youtube.com/watch?v=WysiAYJHRCE	Unedited Footage	Others	Surveillance Cam	Others	Documentary Style	Documentaries	Cooking	Demonstrations	2025-07-29T03:26:50.987283	yusuf
Practical_Engineering_iWc3BcCvEW0	Resin Sphere Turning Experiment Failure	https://www.youtube.com/watch?v=iWc3BcCvEW0	Experiments	Demonstrations	Vlog	Vlog	Experiments	Demonstrations	Experiments	Demonstrations	2025-07-29T03:27:19.307677	yusuf
Jeff_Su_V_L2aWCdO4A	5 Informational Interview Mistakes to Avoid!	https://www.youtube.com/watch?v=V_L2aWCdO4A	Talking Head - Center	Talking Head	Vlog	Vlog	Talking Head - Center	Talking Head	Animated Graphics	Graphics	2025-07-29T03:28:18.627778	yusuf
Khan_Academy_xKNX8BUWR0g	Surjective (onto) and injective (one-to-one) functions | Linear Algebra | Khan Academy	https://www.youtube.com/watch?v=xKNX8BUWR0g	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Animated Graphics	Graphics	2025-07-29T03:28:55.010159	yusuf
RottenTomatoes_DDClFYXZmtM	The Quiet Ones (6/10) Movie CLIP - The Torments of Men (2013) HD	https://www.youtube.com/watch?v=DDClFYXZmtM	Surveillance Cam	Others	Unedited Footage	Others	Talking Head - Center	Talking Head	Documentary Style	Documentaries	2025-07-29T03:29:28.628504	yusuf
Seth_Meyers_IEkdck_L2oc	Nick Offerman Shaved His Beard to Save His Marriage with Megan Mullally	https://www.youtube.com/watch?v=IEkdck_L2oc	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Podcast	Interviews	2025-07-29T03:29:54.993240	yusuf
Conan_OBrien_gplM_zsVm5M	Why Anthony Hopkins Is Done with Hannibal Lecter | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=gplM_zsVm5M	Interviews	Interviews	Talkshows	Interviews	Talking Head - Center	Talking Head	Interviews	Interviews	2025-07-29T03:30:12.607365	yusuf
Hacksmith_Industries_mrn_FvlD45o	Laser Cannons and Rocket Hammers and more! (Hacksmith Vault #3)	https://www.youtube.com/watch?v=mrn_FvlD45o	Experiments	Demonstrations	Vlog	Vlog	Talking Head - Center	Talking Head	Experiments	Demonstrations	2025-07-29T03:31:00.110588	yusuf
RottenTomatoes_WsHqQAfZvc4	Kung Fu Panda 2 (2011) - Rickshaw Chase Scene (4/10) | Movieclips	https://www.youtube.com/watch?v=WsHqQAfZvc4	Cartoon	Animations	Comic Panel Style	Animations	Cartoon	Animations	Animated Graphics	Graphics	2025-07-29T03:31:52.637983	yusuf
Khan_Academy_YghRP8S2K-4	Applying radical equations 2 | Exponent expressions and equations | Algebra I | Khan Academy	https://www.youtube.com/watch?v=YghRP8S2K-4	Chalkboard	Writing Board	Writing Cursor	Writing Cursor	Writing Cursor	Writing Cursor	Infographics	Graphics	2025-07-29T03:32:38.230560	yusuf
The_Law_Simplified_by-F2gy7UJE	'Thinking' Your Way to a First Class	https://www.youtube.com/watch?v=by-F2gy7UJE	Talking Head - Center	Talking Head	Screencasts	Screencasts	Talking Head - Center	Talking Head	Slidedecks	Slidedecks	2025-07-29T03:33:09.888984	yusuf
eHowEducation_mq-YKt0Xw20	How to Convert Binary to Decimal by Multiplication : Advanced Multiplication	https://www.youtube.com/watch?v=mq-YKt0Xw20	Whieboard	Writing Board	Talking Head - Center	Talking Head	Whieboard	Writing Board	Talking Head - Center	Talking Head	2025-07-29T03:33:46.092598	yusuf
Fox_US_News_2YO6egqpXI4	Migrants fed up with Chicago head home	https://www.youtube.com/watch?v=2YO6egqpXI4	Interviews	Interviews	Talking Head - Center	Talking Head	Documentary Style	Documentaries	Talking Head - Center	Talking Head	2025-07-29T03:34:47.580406	yusuf
FGTeeV_eE_fOdmBrWw	There's a GOOZY game AMONG US!  (FGTeeV NEW Mobile Game + A.U. Deleted Scenes)	https://www.youtube.com/watch?v=eE_fOdmBrWw	Games	Gaming	Panel - In Person	Panel	Games	Gaming	Animated Graphics	Graphics	2025-07-29T03:36:07.005332	yusuf
Khan_Academy_BSKtQcLQLWU	Lagrange multiplier example, part 1	https://www.youtube.com/watch?v=BSKtQcLQLWU	Writing Cursor	Writing Cursor			Writing Cursor	Writing Cursor	Infographics	Graphics	2025-07-29T03:36:36.284878	yusuf
Deep_Dive_Ali_Abdaal_jA-BdFiTWMY	"Serial Entrepreneur: ""Here's How I Run Multiple-Businesses"""	https://www.youtube.com/watch?v=jA-BdFiTWMY	Podcast	Interviews	Talking Head - Center	Talking Head	Interviews	Interviews	Talking Head - Center	Talking Head	2025-07-29T03:37:25.965846	yusuf
WIRED_Y18NYGlIukM	Climb Aboard a Boeing 747 That NASA Turned Into the World's Biggest Flying Telescope | WIRED	https://www.youtube.com/watch?v=Y18NYGlIukM	Infographics	Graphics	Talking Head - Center	Talking Head	Documentary Style	Documentaries	Stage Talks	Stage Talks	2025-07-29T03:38:56.888762	yusuf
Geography_Geek_Pj4gA1aOBCM	Why is Korea an Island on Old Maps?	https://www.youtube.com/watch?v=Pj4gA1aOBCM	Infographics	Graphics	Documentary Style	Documentaries	Infographics	Graphics	Animated Graphics	Graphics	2025-07-29T03:58:23.855521	yusuf
