Video	title	url	content_label_1	content_hierarchy_1	content_label_2	content_hierarchy_2	gt_content_label_1	gt_content_hierarchy_1	gt_content_label_2	gt_content_hierarchy_2	annotated_at	annotator_id
Gordon_Ramsay_WysiAYJHRCE	Gordon Ramsay FURIOUS At Lying Chef | Hotel Hell	https://www.youtube.com/watch?v=WysiAYJHRCE	reality-tv	tv_entertainment	celebrity-content	arts/culture	business	business/finance	culinary	culinary	2025-07-29T03:26:50.987283	yusuf
Practical_Engineering_iWc3BcCvEW0	Resin Sphere Turning Experiment Failure	https://www.youtube.com/watch?v=iWc3BcCvEW0	diy	tutorials	vlog	personal_vlogs	diy	tutorials	engineering	tech/engineering	2025-07-29T03:27:19.307677	yusuf
Jeff_Su_V_L2aWCdO4A	5 Informational Interview Mistakes to Avoid!	https://www.youtube.com/watch?v=V_L2aWCdO4A	selfhelp	lifestyle_wellbeing	vlog	personal_vlogs	selfhelp	lifestyle_wellbeing	business	business/finance	2025-07-29T03:28:18.627778	yusuf
Khan_Academy_xKNX8BUWR0g	Surjective (onto) and injective (one-to-one) functions | Linear Algebra | Khan Academy	https://www.youtube.com/watch?v=xKNX8BUWR0g	math	math/logic	arts	arts/culture	datasci	tech/engineering	algebra	math/logic	2025-07-29T03:28:55.010159	yusuf
RottenTomatoes_DDClFYXZmtM	The Quiet Ones (6/10) Movie CLIP - The Torments of Men (2013) HD	https://www.youtube.com/watch?v=DDClFYXZmtM	movies	movies	drama	tv_entertainment	movies	movies	medicine	lifesciences	2025-07-29T03:29:28.628504	yusuf
Seth_Meyers_IEkdck_L2oc	Nick Offerman Shaved His Beard to Save His Marriage with Megan Mullally	https://www.youtube.com/watch?v=IEkdck_L2oc	celebrity-content	arts/culture	comedy	comedy	talkshows	tv_entertainment	environment	physicalsciences	2025-07-29T03:29:54.993240	yusuf
Conan_OBrien_gplM_zsVm5M	Why Anthony Hopkins Is Done with Hannibal Lecter | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=gplM_zsVm5M	movies	movies	celebrity-content	arts/culture	talkshows	tv_entertainment	celebrity-content	arts/culture	2025-07-29T03:30:12.607365	yusuf
Hacksmith_Industries_mrn_FvlD45o	Laser Cannons and Rocket Hammers and more! (Hacksmith Vault #3)	https://www.youtube.com/watch?v=mrn_FvlD45o	diy	tutorials	gaming	gaming	gaming	gaming	engineering	tech/engineering	2025-07-29T03:31:00.110588	yusuf
RottenTomatoes_WsHqQAfZvc4	Kung Fu Panda 2 (2011) - Rickshaw Chase Scene (4/10) | Movieclips	https://www.youtube.com/watch?v=WsHqQAfZvc4	movies	movies	comedy	comedy	movies	movies	architecture	architecture	2025-07-29T03:31:52.637983	yusuf
Khan_Academy_YghRP8S2K-4	Applying radical equations 2 | Exponent expressions and equations | Algebra I | Khan Academy	https://www.youtube.com/watch?v=YghRP8S2K-4	algebra	math/logic	algebra	math/logic	math	math/logic	algebra	math/logic	2025-07-29T03:32:38.230560	yusuf
The_Law_Simplified_by-F2gy7UJE	'Thinking' Your Way to a First Class	https://www.youtube.com/watch?v=by-F2gy7UJE	finance	business/finance	selfhelp	lifestyle_wellbeing	teaching	pedagogy	law	socialsciences	2025-07-29T03:33:09.888984	yusuf
eHowEducation_mq-YKt0Xw20	How to Convert Binary to Decimal by Multiplication : Advanced Multiplication	https://www.youtube.com/watch?v=mq-YKt0Xw20	math	math/logic	algebra	math/logic	math	math/logic	math	math/logic	2025-07-29T03:33:46.092598	yusuf
Fox_US_News_2YO6egqpXI4	Migrants fed up with Chicago head home	https://www.youtube.com/watch?v=2YO6egqpXI4	geopolitical-news	news			geopolitical-news	news	domestic-news	news	2025-07-29T03:34:47.580406	yusuf
FGTeeV_eE_fOdmBrWw	There's a GOOZY game AMONG US!  (FGTeeV NEW Mobile Game + A.U. Deleted Scenes)	https://www.youtube.com/watch?v=eE_fOdmBrWw	gaming	gaming	vlog	personal_vlogs	vlog	personal_vlogs	gaming	gaming	2025-07-29T03:36:07.005332	yusuf
Khan_Academy_BSKtQcLQLWU	Lagrange multiplier example, part 1	https://www.youtube.com/watch?v=BSKtQcLQLWU	math	math/logic			math	math/logic	economics	socialsciences	2025-07-29T03:36:36.284878	yusuf
Deep_Dive_Ali_Abdaal_jA-BdFiTWMY	"Serial Entrepreneur: ""Here's How I Run Multiple-Businesses"""	https://www.youtube.com/watch?v=jA-BdFiTWMY	business	business/finance			business	business/finance	business	business/finance	2025-07-29T03:37:25.965846	yusuf
WIRED_Y18NYGlIukM	Climb Aboard a Boeing 747 That NASA Turned Into the World's Biggest Flying Telescope | WIRED	https://www.youtube.com/watch?v=Y18NYGlIukM	engineering	tech/engineering			astronomy	physicalsciences	engineering	tech/engineering	2025-07-29T03:38:56.888762	yusuf
Geography_Geek_Pj4gA1aOBCM	Why is Korea an Island on Old Maps?	https://www.youtube.com/watch?v=Pj4gA1aOBCM	history	arts/culture	humanities	humanities/philosophy	arts	arts/culture	history	arts/culture	2025-07-29T03:58:23.855521	yusuf
