channelName	id	Video	title	url	content1	content_map1	format1	format_map1	content2	content_map2	format2	format_map2	is_embeddable
NYT_Cooking	g6d7vcnYFSg	NYT_Cooking_g6d7vcnYFSg	How to Make Pupusas With Ham El-Waylly | NYT Cooking	https://www.youtube.com/watch?v=g6d7vcnYFSg	skills.culinary.cooking	culinary	practicaldemonstration.cooking	cooking	lifestyle.food	lifestyle	talkinghead.frameregular	presenter-center	True
TED	cHKs2aVxOmQ	TED_cHKs2aVxOmQ	How to deal with your insomnia — and finally get to sleep | Sleeping with Science	https://www.youtube.com/watch?v=cHKs2aVxOmQ	wellbeing.mentalhealth	wellbeing	talkinghead.frameregular	presenter-center	edu.medicine.psychiatry	medicine	animated.info	animation-infographic	True
Khan_Academy	ZyyaE3DIxhc	Khan_Academy_ZyyaE3DIxhc	Fractional Reserve Banking Commentary 1	https://www.youtube.com/watch?v=ZyyaE3DIxhc	edu.business.economics	economics	writing.stylus	writing-cursor	edu.business.finance	finance	animated.info	animation-infographic	True
Chris_Williamson	yoiUG1a013U	Chris_Williamson_yoiUG1a013U	The Supplement Stack Everyone Should Be Taking - Dr Layne Norton	https://www.youtube.com/watch?v=yoiUG1a013U	edu.medicine.pharmacy	medicine	conversation.podcast	podcast	wellbeing.fitness	wellbeing	talkinghead.frameregular	presenter-center	True
Khan_Academy	rVI5Sjm0xKI	Khan_Academy_rVI5Sjm0xKI	This video has been updated, please see below .... (Fragonard, The Swing)	https://www.youtube.com/watch?v=rVI5Sjm0xKI	edu.arts.arthistory	arts	placeholderdisplay	static-screen	edu.arts.visual	arts	slides	powerpoint-slides	True
DanTDM	BtBRs-eucVo	DanTDM_BtBRs-eucVo	A Personal Update	https://www.youtube.com/watch?v=BtBRs-eucVo	wellbeing.mentalhealth	wellbeing	talkinghead.frameregular	presenter-center	vlog.daily	vlog	vlog	vlog	True
Huberman	_ltcLEM-5HU	Huberman__ltcLEM-5HU	How to Improve Your Eye Health & Offset Vision Loss | Dr. Jeffrey Goldberg	https://www.youtube.com/watch?v=_ltcLEM-5HU	edu.medicine.other	medicine	conversation.podcast	podcast	edu.medicine.publichealth	public_health	talkinghead.frameregular	presenter-center	True
RottenTomatoes	Wh2rJ1zNQEQ	RottenTomatoes_Wh2rJ1zNQEQ	The Possession (2012) POP-UP TRAILER - HD Jeffrey Dean Morgan Movie	https://www.youtube.com/watch?v=Wh2rJ1zNQEQ	entertainment.movies.trailer	movies	talkinghead.framecorner	presenter-corner	entertainment.movies.clips	movies	animated.graphics	animation-graphics	True
Netflix_Is_A_Joke	et2O5fdK8DY	Netflix_Is_A_Joke_et2O5fdK8DY	8 Minutes of Dad Jokes With Nate Bargatze	https://www.youtube.com/watch?v=et2O5fdK8DY	entertainment.comedy.standup	comedy	persononstage	presenter-onstage	vlog.daily	vlog	talkinghead.frameregular	presenter-center	True
PewDiePie	X-_K-S10Ccg	PewDiePie_X-_K-S10Ccg	GORN - Gameplay - Epic VR	https://www.youtube.com/watch?v=X-_K-S10Ccg	gaming.gameplay	gaming	gaming	gaming	vlog.daily	vlog	pov.realworld	firstperson-pov	True
TED_Ed	jP-9AD0wMOk	TED_Ed_jP-9AD0wMOk	What causes heartburn? - Rusha Modi	https://www.youtube.com/watch?v=jP-9AD0wMOk	edu.medicine.gastroenterology	medicine	crafts.cutouts	animation-cutouts	news.health	health-news	animated.info	animation-infographic	True
MIT_OpenCourseWare	noKXLhp6jbk	MIT_OpenCourseWare_noKXLhp6jbk	11. Protein Folding 4	https://www.youtube.com/watch?v=noKXLhp6jbk	edu.stem.biology.molecularbiology	biology	classroom	classroom	edu.stem.biology.cellbiology	biology	talkinghead.frameregular	presenter-center	True
Science_Olympiad_TV	BJqNWeYi_Qg	Science_Olympiad_TV_BJqNWeYi_Qg	Science Olympiad: 2021 National Tournament Cheer Video	https://www.youtube.com/watch?v=BJqNWeYi_Qg	entertainment.reality.competition	competitions	skit	skit	edu.arts.architecture	arts	conversation.casual	talkshows	True
SmarterEveryDay	NY43w15joPE	SmarterEveryDay_NY43w15joPE	Eyeballs vs. Bullets in SlowMo - Smarter Every Day 26	https://www.youtube.com/watch?v=NY43w15joPE	vlog.daily	vlog	talkinghead.frameregular	presenter-center	edu.stem.biology.cellbiology	biology	practicaldemonstration.science	experiments-science	True
Engineering_Explained	N71CY9M4ZnE	Engineering_Explained_N71CY9M4ZnE	2018 Subaru WRX STI Type RA Review - The $50,000 STI	https://www.youtube.com/watch?v=N71CY9M4ZnE	edu.stem.engineering.automotive	engineering	practicaldemonstration.engineering	experiments-engineering	edu.stem.engineering.mechanical	engineering	docustyle	documentary	True
NYT_Podcasts	DAZN9pTYUXc	NYT_Podcasts_DAZN9pTYUXc	The Deserter: Parts 4 and 5	https://www.youtube.com/watch?v=DAZN9pTYUXc	news.international	geopolitical-news	placeholderdisplay	static-screen	news.politics	geopolitical-news	rawfootage	unedited	True
Math_and_Science	8HB2UXoXT5E	Math_and_Science_8HB2UXoXT5E	08 - Solving Exponential Equations - Part 1 - Solve for the Exponent	https://www.youtube.com/watch?v=8HB2UXoXT5E	edu.stem.math.algebra	algebra	talkinghead.frameregular	presenter-center	edu.arts.architecture	arts	board.whiteboard	whiteboard	True
MIT_OpenCourseWare	DZ7jt1F8KKw	MIT_OpenCourseWare_DZ7jt1F8KKw	5. Dynamic Optimality I	https://www.youtube.com/watch?v=DZ7jt1F8KKw	edu.stem.engineering.computerscience	computersci	board.chalkboard	chalkboard	skills.digital.coding	tutorial	talkinghead.frameregular	presenter-center	True
RottenTomatoes	DOmIpiTMs2w	RottenTomatoes_DOmIpiTMs2w	La La Land (2016) - I Ran Scene (4/11) | Movieclips	https://www.youtube.com/watch?v=DOmIpiTMs2w	entertainment.movies.clips	movies	docustyle	documentary	entertainment.drama.musical	drama	persononstage	presenter-onstage	True
The_Daily_Show	mnbYdTa81nQ	The_Daily_Show_mnbYdTa81nQ	"Joel Kim Booster - ""Outstanding: A Comedy Revolution"" & The Impact of Queer Comedy | The Daily Show"	https://www.youtube.com/watch?v=mnbYdTa81nQ	entertainment.variety.talkshow	talkshows	conversation.formal	formal-interview	entertainment.comedy.standup	comedy	talkinghead.frameregular	presenter-center	True
Seth_Meyers	hNPJhR7qZ4g	Seth_Meyers_hNPJhR7qZ4g	Matt Damon Talks Air and His Daughter Refusing to Watch His Movies	https://www.youtube.com/watch?v=hNPJhR7qZ4g	entertainment.variety.latenight	talkshows	talkinghead.frameregular	presenter-center	entertainment.variety.talkshow	talkshows	conversation.casual	talkshows	True
Fireship	zsjvFFKOm3c	Fireship_zsjvFFKOm3c	SQL Explained in 100 Seconds	https://www.youtube.com/watch?v=zsjvFFKOm3c	skills.digital.coding	tutorial	animated.info	animation-infographic	edu.stem.engineering.computerscience	computersci	animated.graphics	animation-graphics	True
Education_Week	Emj0ISVuqso	Education_Week_Emj0ISVuqso	Teachers, Try This: Teach Kindness Through Words and Actions	https://www.youtube.com/watch?v=Emj0ISVuqso	edu.education.pedagogy.teachingprinciples	teaching	talkinghead.frameregular	presenter-center	growth.motivational	selfhelp	classroom	classroom	True
RottenTomatoes	Qbnv6eHKjCQ	RottenTomatoes_Qbnv6eHKjCQ	The Meaning of Life (2/11) Movie CLIP - The Miracle of Birth (1983) HD	https://www.youtube.com/watch?v=Qbnv6eHKjCQ	entertainment.movies.clips	movies	skit	skit	edu.medicine.pediatrics	medicine	docustyle	documentary	True
Dont_Tell_Comedy	BvBfkLuIRuk	Dont_Tell_Comedy_BvBfkLuIRuk	Boarding a Plane 🎤: @JcComedian #standup #donttellcomedy #standupcomedy #jokes #comedian	https://www.youtube.com/watch?v=BvBfkLuIRuk	entertainment.comedy.standup	comedy	persononstage	presenter-onstage	vlog.daily	vlog	talkinghead.frameregular	presenter-center	True
Comedy_Dynamics	uAjPRFk3qJ4	Comedy_Dynamics_uAjPRFk3qJ4	Porn Has Evolved - Lemme and Heffernan	https://www.youtube.com/watch?v=uAjPRFk3qJ4	entertainment.comedy.standup	comedy	persononstage	presenter-onstage	entertainment.variety.talkshow	talkshows	talkinghead.framecorner	presenter-corner	True
StarTalk	aiqTdPHAKQk	StarTalk_aiqTdPHAKQk	You may have a centrifuge on your shelf right now…	https://www.youtube.com/watch?v=aiqTdPHAKQk	edu.stem.physics.mechanics	physics	talkinghead.frameregular	presenter-center	edu.stem.physics.relativity	physics	conversation.formal	formal-interview	True
Marques_Brownlee	il9SZU_nsVc	Marques_Brownlee_il9SZU_nsVc	What's in my Tech Bag! [2020]	https://www.youtube.com/watch?v=il9SZU_nsVc	vlog.daily	vlog	talkinghead.frameregular	presenter-center	misc.unboxing	product-reviews	vlog	vlog	True
Geography_Bible	CVYZw7A0md0	Geography_Bible_CVYZw7A0md0	Extreme Positions Of Cities Around The World	https://www.youtube.com/watch?v=CVYZw7A0md0	vlog.travel	vlog	animated.info	animation-infographic	news.international	geopolitical-news	animated.graphics	animation-graphics	True
Khan_Academy	2JxIjfqKTLs	Khan_Academy_2JxIjfqKTLs	Deësis mosaic, Hagia Sophia, Istanbul	https://www.youtube.com/watch?v=2JxIjfqKTLs	edu.arts.arthistory	arts	docustyle	documentary	edu.arts.visual	arts	animated.info	animation-infographic	True
PBS_Eons	-XuPtW8lBCM	PBS_Eons_-XuPtW8lBCM	When Ants Domesticated Fungi	https://www.youtube.com/watch?v=-XuPtW8lBCM	edu.stem.biology.evolutionarybiology	biology	animated.info	animation-infographic	edu.stem.biology.ecology	biology	docustyle	documentary	True
Comedy_Dynamics	ynbTqAI7als	Comedy_Dynamics_ynbTqAI7als	Marriage Goals - Ester Steinberg	https://www.youtube.com/watch?v=ynbTqAI7als	entertainment.comedy.sketch	comedy	persononstage	presenter-onstage	entertainment.comedy.standup	comedy	talkinghead.frameregular	presenter-center	True
TED_Ed	3Bax8ijH038	TED_Ed_3Bax8ijH038	Why are eating disorders so hard to treat? - Anees Bahji	https://www.youtube.com/watch?v=3Bax8ijH038	wellbeing.mentalhealth	wellbeing	animated.info	animation-infographic	edu.medicine.psychiatry	medicine	writing.stylus	writing-cursor	True
RottenTomatoes	GKuQDM9OlAQ	RottenTomatoes_GKuQDM9OlAQ	The Longest Yard (8/9) Movie CLIP - Fourth and Twenty (2005) HD	https://www.youtube.com/watch?v=GKuQDM9OlAQ	entertainment.movies.clips	movies	docustyle	documentary	entertainment.sports.team	sports	talkinghead.framecorner	presenter-corner	True
RottenTomatoes	WQP_cY7FAyQ	RottenTomatoes_WQP_cY7FAyQ	The First Purge (2018) - A Dance With Death Scene (2/10) | Movieclips	https://www.youtube.com/watch?v=WQP_cY7FAyQ	entertainment.movies.clips	movies	dance	dance	news.entertainment	entertainment-news	docustyle	documentary	True
Life_Advice	fR-ooR-4Nnw	Life_Advice_fR-ooR-4Nnw	Is This Stealing | Ryen Russillo Life Advice	https://www.youtube.com/watch?v=fR-ooR-4Nnw	entertainment.variety.talkshow	talkshows	talkinghead.frameregular	presenter-center	wellbeing.fitness	wellbeing	placeholderdisplay	static-screen	True
Dont_Tell_Comedy	Z-NQnUDrWz4	Dont_Tell_Comedy_Z-NQnUDrWz4	“Anxiety” 🎤: Emily Catalano - #comedy #emilycatalano #donttellcomedy #shorts	https://www.youtube.com/watch?v=Z-NQnUDrWz4	entertainment.comedy.standup	comedy	talkinghead.frameregular	presenter-center	wellbeing.mentalhealth	wellbeing	talkinghead.framecorner	presenter-corner	True
Kati_Morton	lvW4-gxr0Fo	Kati_Morton_lvW4-gxr0Fo	Being In A Relationship with a Narcissist	https://www.youtube.com/watch?v=lvW4-gxr0Fo	wellbeing.mentalhealth	wellbeing	talkinghead.frameregular	presenter-center	edu.medicine.psychiatry	medicine	vlog	vlog	True
Seth_Meyers	kcElZfFrbts	Seth_Meyers_kcElZfFrbts	Grace Gummer Talks Mr. Robot	https://www.youtube.com/watch?v=kcElZfFrbts	entertainment.variety.talkshow	talkshows	conversation.formal	formal-interview	entertainment.variety.celebritycontent	celebritycontent	talkinghead.frameregular	presenter-center	True
Stanford	cWWwt3YCdqo	Stanford_cWWwt3YCdqo	Precourt Institute for Energy at Stanford: The Grand Challenge	https://www.youtube.com/watch?v=cWWwt3YCdqo	edu.stem.engineering.energy	engineering	slides	powerpoint-slides	edu.stem.engineering.sustainability	engineering	paneldiscussion.inperson	paneldiscussion-inperson	True
Comedy_Central_Stand_Up	f2qBcAdSsK4	Comedy_Central_Stand_Up_f2qBcAdSsK4	Steve Rannazzisi: Manchild - The The S**tter & The Quitter	https://www.youtube.com/watch?v=f2qBcAdSsK4	entertainment.comedy.standup	comedy	persononstage	presenter-onstage	edu.arts.architecture	arts	talkinghead.frameregular	presenter-center	True
Practical_Engineering	uvf0lD5xzH0	Practical_Engineering_uvf0lD5xzH0	Compress Air with No Moving Parts! - Trompe	https://www.youtube.com/watch?v=uvf0lD5xzH0	edu.stem.engineering.mechanical	engineering	practicaldemonstration.engineering	experiments-engineering	edu.social.history	history	practicaldemonstration.science	experiments-science	True
Khan_Academy	3yBYXNW1Nls	Khan_Academy_3yBYXNW1Nls	Finding trig functions of special angles example | Trigonometry | Khan Academy	https://www.youtube.com/watch?v=3yBYXNW1Nls	edu.stem.math.trigonometry	math	writing.stylus	writing-cursor	edu.stem.math.geometry	math	animated.graphics	animation-graphics	True
National_Geographic	SV9y6ktC84k	National_Geographic_SV9y6ktC84k	Great White and Oceanic Whitetip Sharks: Photographing Top Ocean Predators  (Part 3) | Nat Geo Live	https://www.youtube.com/watch?v=SV9y6ktC84k	edu.stem.biology.marinebiology	biology	persononstage	presenter-onstage	edu.stem.biology.zoology	biology	slides	powerpoint-slides	True
RottenTomatoes	zu9vz_Krzb0	RottenTomatoes_zu9vz_Krzb0	Sharknado 3: Oh Hell No! (1/10) Movie CLIP - God Bless America (2015) HD	https://www.youtube.com/watch?v=zu9vz_Krzb0	entertainment.movies.clips	movies	skit	skit	entertainment.comedy.parody	comedy	docustyle	documentary	True
Khan_Academy	tj5AtYoKqvs	Khan_Academy_tj5AtYoKqvs	Dividing mixed numbers example	https://www.youtube.com/watch?v=tj5AtYoKqvs	edu.stem.math.arithmetic	math	writing.stylus	writing-cursor	edu.stem.math.algebra	algebra	talkinghead.framecorner	presenter-corner	True
Fireship	0M8AYU_hPas	Fireship_0M8AYU_hPas	NestJS in 100 Seconds	https://www.youtube.com/watch?v=0M8AYU_hPas	skills.digital.coding	tutorial	animated.graphics	animation-graphics	edu.stem.engineering.computerscience	computersci	screencast	screenrecord	True
White_House	YOuV_HunCTY	White_House_YOuV_HunCTY	12/06/21: Press Briefing by Press Secretary Jen  Psaki	https://www.youtube.com/watch?v=YOuV_HunCTY	news.politics	geopolitical-news	talkinghead.frameregular	presenter-center	edu.medicine.publichealth	public_health	persononstage	presenter-onstage	True
Practical_Wisdom_Interesting_Ideas	k9hiIqqtyBI	Practical_Wisdom_Interesting_Ideas_k9hiIqqtyBI	12 easy steps to overcome any addiction	https://www.youtube.com/watch?v=k9hiIqqtyBI	wellbeing.mentalhealth	wellbeing	animated.graphics	animation-graphics	growth.motivational	selfhelp	animated.info	animation-infographic	True
The_Daily_Show	ry_hKpYz0xc	The_Daily_Show_ry_hKpYz0xc	The FULL List of Trump’s Most Tremendous Scandals | The Daily Social Distancing Show	https://www.youtube.com/watch?v=ry_hKpYz0xc	news.politics	geopolitical-news	talkinghead.frameregular	presenter-center	edu.social.politics	politics	animated.graphics	animation-graphics	True
The_Coding_Train	r94kI6my0QQ	The_Coding_Train_r94kI6my0QQ	3.3 Mapping Database Entries with Leaflet.js - Working with Data and APIs in JavaScript	https://www.youtube.com/watch?v=r94kI6my0QQ	skills.digital.coding	tutorial	talkinghead.framecorner	presenter-corner	edu.stem.engineering.computerscience	computersci	screencast	screenrecord	True
RottenTomatoes	ptkVgJGvUyQ	RottenTomatoes_ptkVgJGvUyQ	Avengers Confidential (2014) - Black Widow's Long Lost Lover | Movieclips	https://www.youtube.com/watch?v=ptkVgJGvUyQ	entertainment.movies.clips	movies	animated.cartoon	animation-cartoon	edu.arts.architecture	arts	animated.graphics	animation-graphics	True
YaleCourses	UTNyAV3YUbI	YaleCourses_UTNyAV3YUbI	15. Female Disadvantage	https://www.youtube.com/watch?v=UTNyAV3YUbI	edu.social.sociology	sociology	slides	powerpoint-slides	edu.social.history	history	talkinghead.frameregular	presenter-center	True
RottenTomatoes	Xt2JzDaHiNM	RottenTomatoes_Xt2JzDaHiNM	Red Dawn (9/9) Movie CLIP - Vaya Con Dios (1984) HD	https://www.youtube.com/watch?v=Xt2JzDaHiNM	entertainment.movies.clips	movies	docustyle	documentary	edu.arts.architecture	arts	rawfootage	unedited	True
NYT_Podcasts	eIX8o8Volxk	NYT_Podcasts_eIX8o8Volxk	How the Election Is Sinking a $15 Billion Business Deal	https://www.youtube.com/watch?v=eIX8o8Volxk	edu.social.politics	politics	placeholderdisplay	static-screen	news.politics	geopolitical-news	rawfootage	unedited	True
MIT_OpenCourseWare	V-eWuHXZGnw	MIT_OpenCourseWare_V-eWuHXZGnw	Lec 5 | MIT 5.95J Teaching College-Level Science and Engineering, Spring 2009	https://www.youtube.com/watch?v=V-eWuHXZGnw	edu.education.pedagogy.teachingprinciples	teaching	classroom	classroom	growth.careerdevelopment	selfhelp	board.chalkboard	chalkboard	True
PBS_Terra	eMy2_A3Z26g	PBS_Terra_eMy2_A3Z26g	The Internet Is Made of Glass and Lasers | Out of Our Elements	https://www.youtube.com/watch?v=eMy2_A3Z26g	edu.stem.physics.optics	physics	animated.info	animation-infographic	edu.stem.chemistry.materials	chemistry	animated.graphics	animation-graphics	True
James_Corden	pCjY3ZQY8WY	James_Corden_pCjY3ZQY8WY	Spill Your Guts or Fill Your Guts w/ Gordon Ramsay	https://www.youtube.com/watch?v=pCjY3ZQY8WY	entertainment.variety.talkshow	talkshows	talkinghead.frameregular	presenter-center	skills.culinary.cooking	culinary	conversation.casual	talkshows	True
Khan_Academy	rDb0G066k5w	Khan_Academy_rDb0G066k5w	The vowel-shift irregular verb | The parts of speech | Grammar | Khan Academy	https://www.youtube.com/watch?v=rDb0G066k5w	language.teachinglanguage	teaching	writing.stylus	writing-cursor	edu.arts.languages	arts	animated.info	animation-infographic	True
AumSum_Time	_8e-ZdjwSqo	AumSum_Time__8e-ZdjwSqo	What if 50% Humans shifted to Jupiter? + more videos | #aumsum #kids #science #education #whatif	https://www.youtube.com/watch?v=_8e-ZdjwSqo	edu.stem.physics.optics	physics	animated.cartoon	animation-cartoon	edu.medicine.physiology	medicine	animated.graphics	animation-graphics	True
Conan_OBrien	dFQ07d_jAfw	Conan_OBrien_dFQ07d_jAfw	Patrick Stewart Didn’t Want To Look At His Wax Figure | Late Night with Conan O’Brien	https://www.youtube.com/watch?v=dFQ07d_jAfw	entertainment.variety.talkshow	talkshows	talkinghead.frameregular	presenter-center	entertainment.variety.latenight	talkshows	conversation.casual	talkshows	True
MIT_OpenCourseWare	PPl-7_RL0Ko	MIT_OpenCourseWare_PPl-7_RL0Ko	17. Stochastic Processes II	https://www.youtube.com/watch?v=PPl-7_RL0Ko	edu.stem.math.probability	datasci	board.chalkboard	chalkboard	edu.business.economics	economics	classroom	classroom	True
Not_Another_Cooking_Show	GOTBVKzzCc0	Not_Another_Cooking_Show_GOTBVKzzCc0	how I SHOOT & EDIT my youtube cooking show	https://www.youtube.com/watch?v=GOTBVKzzCc0	lifestyle.food	lifestyle	vlog	vlog	skills.culinary.cooking	culinary	talkinghead.frameregular	presenter-center	True
The_Innomind	SayBMCwgEQ0	The_Innomind_SayBMCwgEQ0	Chapter 15: Understanding Light Dependent Resistors (LDR) | Mastering Arduino Course	https://www.youtube.com/watch?v=SayBMCwgEQ0	skills.digital.coding	tutorial	slides	powerpoint-slides	edu.stem.engineering.electronics	engineering	animation.powerpoint	animation-powerpoint	True
Variety	8OWoP07Y27g	Variety_8OWoP07Y27g	Quentin Tarantino didn't want Diane Krüger for Inglorious Basterds	https://www.youtube.com/watch?v=8OWoP07Y27g	entertainment.variety.talkshow	talkshows	talkinghead.frameregular	presenter-center	edu.arts.acting	arts	conversation.formal	formal-interview	True
Khan_Academy	w616LEmrHVE	Khan_Academy_w616LEmrHVE	Adding decimals: example 3 | Decimals | Pre-Algebra | Khan Academy	https://www.youtube.com/watch?v=w616LEmrHVE	edu.stem.math.arithmetic	math	writing.stylus	writing-cursor	edu.stem.math.algebra	algebra	talkinghead.framecorner	presenter-corner	True
CrashCourse	eWHH9je2zG4	CrashCourse_eWHH9je2zG4	Endocrine System, Part 1 - Glands & Hormones: Crash Course Anatomy & Physiology #23	https://www.youtube.com/watch?v=eWHH9je2zG4	edu.medicine.endocrinology	medicine	talkinghead.frameregular	presenter-center	edu.medicine.physiology	medicine	animated.info	animation-infographic	True
Khan_Academy	920PtNX-WCE	Khan_Academy_920PtNX-WCE	Permeability and membrane potentials | Circulatory system physiology | NCLEX-RN | Khan Academy	https://www.youtube.com/watch?v=920PtNX-WCE	edu.medicine.physiology	medicine	writing.stylus	writing-cursor	edu.arts.architecture	arts	animated.info	animation-infographic	True
jacksepticeye	nO-krY8GJJY	jacksepticeye_nO-krY8GJJY	WHAT HAPPENED TO ROGER'S HEAD? | Totally Accurate Battle Simulator #8	https://www.youtube.com/watch?v=nO-krY8GJJY	gaming.gameplay	gaming	gaming	gaming	vlog.daily	vlog	talkinghead.framecorner	presenter-corner	True
RottenTomatoes	-19d_T472co	RottenTomatoes_-19d_T472co	Puss in Boots (2011) - Cat Dance Fight Scene (2/10) | Movieclips	https://www.youtube.com/watch?v=-19d_T472co	entertainment.movies.clips	movies	animated.cartoon	animation-cartoon	entertainment.music	music	dance	dance	True
