title	url	duration	Video	content1	content_map1	content_map_hierarchy1	format1	format_map1	format_map_hierarchy1	content2	content_map2	content_map_hierarchy2	format2	format_map2	format_map_hierarchy2	channelName	id
Flirting with Disaster (9/12) Movie CLIP - We Made L.S.D. (1996) HD	https://www.youtube.com/watch?v=UnXDK24wbSg	163.0	RottenTomatoes_UnXDK24wbSg	entertainment.movies.clips	movie-clips	tv_entertainment	conversation.casual	Talkshows	Interviews	misc.conspiracy	conspiracy	others	conversation.formal	Interviews	Interviews	RottenTomatoes	UnXDK24wbSg
Why Tucker Carlson pretends to hate elites	https://www.youtube.com/watch?v=RNineSEoxjQ	518.0	Vox_RNineSEoxjQ	edu.social.politics	politics	socialsciences	talkinghead.frameregular	Talking Head - Center	Talking Head	news.politics	geopolitical-news	news	talkinghead.framecorner	Talking Head - Corner	Talking Head	Vox	RNineSEoxjQ
Ideology and social policy | US government and civics | Khan Academy	https://www.youtube.com/watch?v=xx0Y2NPpoTk	495.0	Khan_Academy_xx0Y2NPpoTk	edu.social.politics	politics	socialsciences	writing.stylus	Writing Cursor	Writing Cursor	news.politics	geopolitical-news	news	animated.info	Infographics	Graphics	Khan_Academy	xx0Y2NPpoTk
Anavysos Kouros	https://www.youtube.com/watch?v=v1_pCZBVWuY	299.0	Khan_Academy_v1_pCZBVWuY	edu.arts.arthistory	arts	arts/culture	slides	Slidedecks	Slidedecks	edu.arts.visual	arts	arts/culture	docustyle	Documentary Style	Documentaries	Khan_Academy	v1_pCZBVWuY
Legal expert: Judge’s ruling a ‘sledgehammer’ to Trump Organization	https://www.youtube.com/watch?v=pp9XN1JfK4c	586.0	CNN_US_News_pp9XN1JfK4c	news.business	business-news	business/finance	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.social.politics	politics	socialsciences	conversation.formal	Interviews	Interviews	CNN_US_News	pp9XN1JfK4c
$750 Mini Boosted Board Impressions!	https://www.youtube.com/watch?v=Er-hGFBcosc	381.0	Marques_Brownlee_Er-hGFBcosc	misc.productreview	product-reviews	reviews	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.engineering.automotive	engineering	tech/engineering	pov.realworld	Point of View	Vlog	Marques_Brownlee	Er-hGFBcosc
Model APA Research Paper - PSYC 353 - Case Analysis	https://www.youtube.com/watch?v=i0adL4tC0zY	538.0	David_Taylor_i0adL4tC0zY	edu.medicine.psychiatry	medicine	lifesciences	talkinghead.framecorner	Talking Head - Corner	Talking Head	edu.social.psychology	psychology	socialsciences	screencast	Screencasts	Screencasts	David_Taylor	i0adL4tC0zY
Mk.gee: Alesis (Live) - SNL	https://www.youtube.com/watch?v=9-uzXNXAqcE	201.0	Saturday_Night_Live_9-uzXNXAqcE	entertainment.music	music	arts/culture	persononstage	Stage Talks	Stage Talks	entertainment.variety.celebritycontent	celebrity-content	arts/culture	animated.graphics	Animated Graphics	Graphics	Saturday_Night_Live	9-uzXNXAqcE
Bonus Episode: Reflection: A Look Back to Move Forward	https://www.youtube.com/watch?v=MW5hBqhvtWs	475.0	Psych_Hub_MW5hBqhvtWs	wellbeing.mentalhealth	wellbeing	lifestyle_wellbeing	placeholderdisplay	Static Screen	Others	growth.motivational	selfhelp	lifestyle_wellbeing	rawfootage	Unedited Footage	Others	Psych_Hub	MW5hBqhvtWs
Nx Quickstart - How to Scale a JavaScript Project	https://www.youtube.com/watch?v=VUyBY72mwrQ	580.0	Fireship_VUyBY72mwrQ	skills.digital.coding	software-tutorials	tutorials	screencast	Screencasts	Screencasts	edu.stem.engineering.computerscience	computersci	tech/engineering	keystrokes	Screencasts	Screencasts	Fireship	VUyBY72mwrQ
Photographer’s Journey Part 1: The Real Friday Night Lights | Nat Geo Live	https://www.youtube.com/watch?v=4c70zoVydwU	285.0	National_Geographic_4c70zoVydwU	edu.arts.visual	arts	arts/culture	persononstage	Stage Talks	Stage Talks	news.domestic	domestic-news	news	slides	Slidedecks	Slidedecks	National_Geographic	4c70zoVydwU
Netflix Reality Stars take on Floor is Lava | Netflix	https://www.youtube.com/watch?v=1t4yUhZwKVk	432.0	Netflix_1t4yUhZwKVk	entertainment.reality.competition	competitions	others	gaming	Games	Gaming	entertainment.variety.celebritycontent	celebrity-content	arts/culture	docustyle	Documentary Style	Documentaries	Netflix	1t4yUhZwKVk
How To See Germs Spread Experiment (Coronavirus)	https://www.youtube.com/watch?v=I5-dI74zxPg	517.0	Mark_Rober_I5-dI74zxPg	edu.medicine.publichealth	public_health	lifesciences	practicaldemonstration.science	Experiments	Demonstrations	edu.stem.biology.microbiology	biology	lifesciences	talkinghead.frameregular	Talking Head - Center	Talking Head	Mark_Rober	I5-dI74zxPg
Israel Gutierrez has emotional goodbye to Around The Horn	https://www.youtube.com/watch?v=xPjwpFuOQKg	215.0	ESPN_xPjwpFuOQKg	news.sports	sports-news	sports	talkinghead.frameregular	Talking Head - Center	Talking Head	news.entertainment	entertainment-news	news	conversation.formal	Interviews	Interviews	ESPN	xPjwpFuOQKg
Oil Prices Rise on Biden’s Offhand Remarks, and U.S. Ports Reopen	https://www.youtube.com/watch?v=GW3y9FljCB0	596.0	NYT_Podcasts_GW3y9FljCB0	news.international	geopolitical-news	news	placeholderdisplay	Static Screen	Others	news.domestic	domestic-news	news	rawfootage	Unedited Footage	Others	NYT_Podcasts	GW3y9FljCB0
Squid Proteins, but Make Them Fashion		320.0	SciShow_pX4P8fKBuGM	lifestyle.style.fashion	fashion	lifestyle_wellbeing	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.stem.chemistry.materials	chemistry	physicalsciences	animated.graphics	Animated Graphics	Graphics	SciShow	pX4P8fKBuGM
Zen Buddhism	https://www.youtube.com/watch?v=_WAi2fwUqN4	202.0	Khan_Academy__WAi2fwUqN4	religious.spirituality	religion	humanities/philosophy	docustyle	Documentary Style	Documentaries	edu.humanities.religion	humanities	humanities/philosophy	rawfootage	Unedited Footage	Others	Khan_Academy	_WAi2fwUqN4
7 EASY PAPER FLOWERS | FLOWER MAKING | DIY	https://www.youtube.com/watch?v=Avw2msTYnec	309.0	Fun_Science_Avw2msTYnec	vlog.daily	vlog	personal_vlogs	crafts.cutouts	Cutout	Animations	edu.arts.architecture	arts	arts/culture	talkinghead.framecorner	Talking Head - Corner	Talking Head	Fun_Science	Avw2msTYnec
Moroccan Earthquake's Death Toll Soars To More Than 2,000 | NPR News Now	https://www.youtube.com/watch?v=9vbNxNodQ8g	185.0	NPR_News_Now_9vbNxNodQ8g	news.domestic	domestic-news	news	docustyle	Documentary Style	Documentaries	news.international	geopolitical-news	news	talkinghead.frameregular	Talking Head - Center	Talking Head	NPR_News_Now	9vbNxNodQ8g
The Backwards Brain Bicycle - Smarter Every Day 133	https://www.youtube.com/watch?v=MFzDaBzBlL0	478.0	SmarterEveryDay_MFzDaBzBlL0	edu.stem.neuroscience	neurosci	lifesciences	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.medicine.neurology	medicine	lifesciences	docustyle	Documentary Style	Documentaries	SmarterEveryDay	MFzDaBzBlL0
Subtracting hundreds, tens, and ones | Early Math | Khan Academy	https://www.youtube.com/watch?v=ycBxbgjQns4	191.0	Khan_Academy_ycBxbgjQns4	edu.stem.math.arithmetic	math	math/logic	writing.stylus	Writing Cursor	Writing Cursor	edu.stem.math.algebra	algebra	math/logic	talkinghead.framecorner	Talking Head - Corner	Talking Head	Khan_Academy	ycBxbgjQns4
Clive Owen's Life as a Liverpool Football Superfan - Late Night with Seth Meyers	https://www.youtube.com/watch?v=tpiDcv41a2Y	232.0	Seth_Meyers_tpiDcv41a2Y	entertainment.sports.team	sports	sports	talkinghead.frameregular	Talking Head - Center	Talking Head	entertainment.variety.talkshow	talkshows	tv_entertainment	conversation.casual	Talkshows	Interviews	Seth_Meyers	tpiDcv41a2Y
Real Time with Bill Maher: Ted Cruz is Wrong About Rock (HBO)	https://www.youtube.com/watch?v=3L5Sl5tIEc0	182.0	Real_Time_Bill_Maher_3L5Sl5tIEc0	news.politics	geopolitical-news	news	paneldiscussion.inperson	Panel - In Person	Panel	edu.social.politics	politics	socialsciences	talkinghead.frameregular	Talking Head - Center	Talking Head	Real_Time_Bill_Maher	3L5Sl5tIEc0
What's The Best Law School?	https://www.youtube.com/watch?v=TJ8rziA_Lgg	306.0	The_Law_Simplified_TJ8rziA_Lgg	edu.social.law	law	socialsciences	talkinghead.frameregular	Talking Head - Center	Talking Head	growth.careerdevelopment	selfhelp	lifestyle_wellbeing	talkinghead.framecorner	Talking Head - Corner	Talking Head	The_Law_Simplified	TJ8rziA_Lgg
Accelerate Ansible Playbook Creation with IBM watsonx Code Assistant	https://www.youtube.com/watch?v=vG54TKeEwP4	227.0	IBM_Technology_vG54TKeEwP4	skills.digital.coding	software-tutorials	tutorials	screencast	Screencasts	Screencasts	edu.stem.engineering.computerscience	computersci	tech/engineering	keystrokes	Screencasts	Screencasts	IBM_Technology	vG54TKeEwP4
Microsoft Surface Tablet: This Changes Everything.	https://www.youtube.com/watch?v=eun4_r4PXVE	174.0	ColdFusion_eun4_r4PXVE	news.technology	technology	tech/engineering	docustyle	Documentary Style	Documentaries	skills.digital.coding	software-tutorials	tutorials	animated.graphics	Animated Graphics	Graphics	ColdFusion	eun4_r4PXVE
Jet Lag: The Game - A New Channel by Wendover Productions	https://www.youtube.com/watch?v=xhYl7Jjefo8	168.0	Wendover_Productions_xhYl7Jjefo8	entertainment.reality.competition	competitions	others	talkinghead.frameregular	Talking Head - Center	Talking Head	entertainment.sports.adventure	sports	sports	docustyle	Documentary Style	Documentaries	Wendover_Productions	xhYl7Jjefo8
Two Lovers (7/10) Movie CLIP - More Than a Crush (2008) HD	https://www.youtube.com/watch?v=tdvq6Usjydg	162.0	RottenTomatoes_tdvq6Usjydg	entertainment.movies.clips	movie-clips	tv_entertainment	talkinghead.frameregular	Talking Head - Center	Talking Head	entertainment.drama.shortfilm	drama	tv_entertainment	docustyle	Documentary Style	Documentaries	RottenTomatoes	tdvq6Usjydg
Darwin's Theory of Evolution: Natural Selection	https://www.youtube.com/watch?v=qt2f5_Pg_QE	356.0	Sprouts_qt2f5_Pg_QE	edu.stem.biology.evolutionarybiology	biology	lifesciences	animated.comic	Comic Panel Style	Animations	edu.stem.biology.genetics	biology	lifesciences	animated.info	Infographics	Graphics	Sprouts	qt2f5_Pg_QE
Sen. Bernie Sanders Doesn't Think Sen. Joe Manchin Understands What His Voters Want	https://www.youtube.com/watch?v=i02HefjZqDA	340.0	Seth_Meyers_i02HefjZqDA	edu.social.politics	politics	socialsciences	paneldiscussion.virtual	Panel - Virtual	Panel	entertainment.variety.talkshow	talkshows	tv_entertainment	talkinghead.frameregular	Talking Head - Center	Talking Head	Seth_Meyers	i02HefjZqDA
What if we Lived on Uranus? + more videos | #aumsum #kids #science #education #whatif	https://www.youtube.com/watch?v=D9_ZxsiXNLc	223.0	AumSum_Time_D9_ZxsiXNLc	edu.stem.astronomy	astronomy	physicalsciences	animated.cartoon	Cartoon	Animations	vlog.daily	vlog	personal_vlogs	animated.info	Infographics	Graphics	AumSum_Time	D9_ZxsiXNLc
Attribution theory - Attribution error and culture | Individuals and Society | MCAT | Khan Academy	https://www.youtube.com/watch?v=XYWFGJ2aYRU	328.0	Khan_Academy_XYWFGJ2aYRU	edu.social.psychology	psychology	socialsciences	writing.stylus	Writing Cursor	Writing Cursor	edu.social.anthropology	history	arts/culture	animated.info	Infographics	Graphics	Khan_Academy	XYWFGJ2aYRU
Does Milk Make You Phlegmy?		184.0	SciShow_lKdSh42_JTo	news.health	health-news	news	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.medicine.physiology	medicine	lifesciences	animated.info	Infographics	Graphics	SciShow	lKdSh42_JTo
The Boolean Satisfiability Problem : Advanced Math	https://www.youtube.com/watch?v=sBTTRwpJWi0	207.0	eHowEducation_sBTTRwpJWi0	edu.stem.math.logic	math	math/logic	board.chalkboard	Chalkboard	Writing Board	edu.stem.engineering.computerscience	computersci	tech/engineering	talkinghead.frameregular	Talking Head - Center	Talking Head	eHowEducation	sBTTRwpJWi0
Resident Evil: Damnation (2012) - Tyrants Unleashed Scene (7/10) | Movieclips	https://www.youtube.com/watch?v=dLLU72E4FpM	214.0	RottenTomatoes_dLLU72E4FpM	entertainment.movies.clips	movie-clips	tv_entertainment	animated.cartoon	Cartoon	Animations	edu.arts.architecture	arts	arts/culture	gaming	Games	Gaming	RottenTomatoes	dLLU72E4FpM
Making Rigatoni By Hand Is Easier Than You Think	https://www.youtube.com/watch?v=tKzI-b4O4Do	525.0	Not_Another_Cooking_Show_tKzI-b4O4Do	skills.culinary.cooking	culinary	culinary	practicaldemonstration.cooking	Cooking	Demonstrations	lifestyle.food	food	lifestyle_wellbeing	talkinghead.framecorner	Talking Head - Corner	Talking Head	Not_Another_Cooking_Show	tKzI-b4O4Do
HELLO NEIGHBOR TRICKS w/ FGTEEV CHASE! Pre-Alpha, 2, & 3 Random Tips! (KIDS Gaming)	https://www.youtube.com/watch?v=flZPplsLwLg	557.0	FGTeeV_flZPplsLwLg	gaming.gameplay	gaming	gaming	gaming	Games	Gaming	misc.internet	internet-culture	others	talkinghead.framecorner	Talking Head - Corner	Talking Head	FGTeeV	flZPplsLwLg
Mad Dog, Stephen A. & UD ALL AGREE Steph Curry WON'T win another title in his career 👀 | First Take	https://www.youtube.com/watch?v=x6UbzitQHSI	267.0	ESPN_x6UbzitQHSI	news.sports	sports-news	sports	paneldiscussion.inperson	Panel - In Person	Panel	entertainment.sports.team	sports	sports	talkinghead.frameregular	Talking Head - Center	Talking Head	ESPN	x6UbzitQHSI
How Alcohol Changes Your Body	https://www.youtube.com/watch?v=KWQpV9_kUUM	481.0	AsapSCIENCE_KWQpV9_kUUM	edu.stem.chemistry.biochemistry	chemistry	physicalsciences	writing.hand	Writing Hand	Writing Hand	edu.stem.neuroscience	neurosci	lifesciences	board.whiteboard	Whieboard	Writing Board	AsapSCIENCE	KWQpV9_kUUM
HURRY! CLICK TWICE TO DEFUSE THIS BOMB! (Keep Talking and No One Explodes - Part 3)	https://www.youtube.com/watch?v=L4wAqzijLAs	377.0	PewDiePie_L4wAqzijLAs	gaming.gameplay	gaming	gaming	talkinghead.framecorner	Talking Head - Corner	Talking Head	vlog.daily	vlog	personal_vlogs	gaming	Games	Gaming	PewDiePie	L4wAqzijLAs
Visiting campus	https://www.youtube.com/watch?v=Bp-iW9YxnNU	248.0	Khan_Academy_Bp-iW9YxnNU	growth.careerdevelopment	selfhelp	lifestyle_wellbeing	vlog	Vlog	Vlog	edu.education.pedagogy.teachingprinciples	teaching	pedagogy	pov.realworld	Point of View	Vlog	Khan_Academy	Bp-iW9YxnNU
Samsung Galaxy S10E Impressions!	https://www.youtube.com/watch?v=iy1z3ZVASCg	294.0	Marques_Brownlee_iy1z3ZVASCg	misc.productreview	product-reviews	reviews	talkinghead.frameregular	Talking Head - Center	Talking Head	edu.arts.architecture	arts	arts/culture	screencast	Screencasts	Screencasts	Marques_Brownlee	iy1z3ZVASCg
On Her Majesty's Secret Service (1/9) Movie CLIP - This Never Happened to the Other Fella (1969) HD	https://www.youtube.com/watch?v=ZhBCiQ49Iz8	176.0	RottenTomatoes_ZhBCiQ49Iz8	entertainment.movies.clips	movie-clips	tv_entertainment	docustyle	Documentary Style	Documentaries	edu.arts.architecture	arts	arts/culture	conversation.casual	Talkshows	Interviews	RottenTomatoes	ZhBCiQ49Iz8
What if we Lived on Jupiter? + more videos | #aumsum #kids #science #education #whatif	https://www.youtube.com/watch?v=uufw95jDWv4	201.0	AumSum_Time_uufw95jDWv4	edu.stem.astronomy	astronomy	physicalsciences	animated.cartoon	Cartoon	Animations	edu.stem.environment	environment	physicalsciences	animated.info	Infographics	Graphics	AumSum_Time	uufw95jDWv4
Jumanji: The Next Level (2019) - Body-Swapping Scene (5/10) | Movieclips	https://www.youtube.com/watch?v=XMfIAybLoYY	184.0	RottenTomatoes_XMfIAybLoYY	entertainment.movies.clips	movie-clips	tv_entertainment	conversation.casual	Talkshows	Interviews	edu.arts.architecture	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	RottenTomatoes	XMfIAybLoYY
Trump slams EU for reciprocal tariffs while sitting next to Irish prime minister	https://www.youtube.com/watch?v=v43DP_dTzXY	490.0	CBS_US_News_v43DP_dTzXY	news.business	business-news	business/finance	talkinghead.frameregular	Talking Head - Center	Talking Head	news.politics	geopolitical-news	news	docustyle	Documentary Style	Documentaries	CBS_US_News	v43DP_dTzXY
Rebel Wilson on Kissing How to Be Single Extras - Late Night with Seth Meyers	https://www.youtube.com/watch?v=9nnxB1aFo_Y	223.0	Seth_Meyers_9nnxB1aFo_Y	entertainment.variety.talkshow	talkshows	tv_entertainment	talkinghead.frameregular	Talking Head - Center	Talking Head	entertainment.variety.latenight	talkshows	tv_entertainment	conversation.formal	Interviews	Interviews	Seth_Meyers	9nnxB1aFo_Y
Digital Technology Combos: Introduction to Digital Devices	https://www.youtube.com/watch?v=AZRztstOt4E	222.0	LEARN_AZRztstOt4E	edu.education.pedagogy.teachingtools	teaching	pedagogy	classroom	Classroom	Lectures	edu.education.pedagogy.teachingprinciples	teaching	pedagogy	talkinghead.frameregular	Talking Head - Center	Talking Head	LEARN	AZRztstOt4E
If function u is continuous at x, then _u_0 as _x_0 | AP Calculus AB | Khan Academy	https://www.youtube.com/watch?v=l6T4RhlgkG0	384.0	Khan_Academy_l6T4RhlgkG0	edu.stem.math.calculus	math	math/logic	writing.stylus	Writing Cursor	Writing Cursor	edu.education.pedagogy.teachingprinciples	teaching	pedagogy	talkinghead.framecorner	Talking Head - Corner	Talking Head	Khan_Academy	l6T4RhlgkG0
How to Play Guitar: Intervals and Arpeggios | Intermediate | Guitar Lessons	https://www.youtube.com/watch?v=MVUXBEs6LYc	290.0	Berklee_MVUXBEs6LYc	edu.arts.music	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	entertainment.music	music	arts/culture	animated.graphics	Animated Graphics	Graphics	Berklee	MVUXBEs6LYc
Revenge of the Creature (1955) - The Gill-man Kills a Dog Scene | Movieclips	https://www.youtube.com/watch?v=Gxy5wtlJwlQ	218.0	RottenTomatoes_Gxy5wtlJwlQ	entertainment.movies.clips	movie-clips	tv_entertainment	docustyle	Documentary Style	Documentaries	edu.arts.architecture	arts	arts/culture	rawfootage	Unedited Footage	Others	RottenTomatoes	Gxy5wtlJwlQ
Obama Inspired Bruce Springsteen to Write a Broadway Show	https://www.youtube.com/watch?v=u_YYMuZIOWU	564.0	Seth_Meyers_u_YYMuZIOWU	entertainment.variety.talkshow	talkshows	tv_entertainment	conversation.formal	Interviews	Interviews	entertainment.music	music	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	Seth_Meyers	u_YYMuZIOWU
A List of Some Uses of Radioactive Isotopes in Biology & Medicine : Chemistry Help	https://www.youtube.com/watch?v=C31X6KaZ0RE	225.0	eHowEducation_C31X6KaZ0RE	edu.stem.chemistry.analytical	chemistry	physicalsciences	board.lightboard	Glassboard	Writing Board	edu.medicine.oncology	medicine	lifesciences	talkinghead.frameregular	Talking Head - Center	Talking Head	eHowEducation	C31X6KaZ0RE
Ice Fishing and Changing Diets (Clip) | Alaska: The Next Generation	https://www.youtube.com/watch?v=WSkQZduaw2Q	215.0	National_Geographic_WSkQZduaw2Q	entertainment.reality.living	reality-tv	tv_entertainment	docustyle	Documentary Style	Documentaries	vlog.daily	vlog	personal_vlogs	practicaldemonstration.engineering	Experiments	Demonstrations	National_Geographic	WSkQZduaw2Q
Point Break Remake (Wes Anderson, David Lynch, Tommy Wiseau, Joe Swanberg)	https://www.youtube.com/watch?v=BgYFL7x2ecw	233.0	Patrick_Willems_BgYFL7x2ecw	entertainment.comedy.parody	comedy	comedy	skit	Skit	Skit	entertainment.comedy.sketch	comedy	comedy	conversation.casual	Talkshows	Interviews	Patrick_Willems	BgYFL7x2ecw
Will Running Out Of Gas Damage Your Car?	https://www.youtube.com/watch?v=WWDFAPXsk9s	556.0	Engineering_Explained_WWDFAPXsk9s	edu.stem.engineering.automotive	engineering	tech/engineering	practicaldemonstration.engineering	Experiments	Demonstrations	edu.arts.architecture	arts	arts/culture	talkinghead.frameregular	Talking Head - Center	Talking Head	Engineering_Explained	WWDFAPXsk9s
The Most American Thing That’s Ever Happened - John Oliver	https://www.youtube.com/watch?v=5-Dq3RTnt7A	348.0	Comedy_Central_Stand_Up_5-Dq3RTnt7A	entertainment.comedy.standup	comedy	comedy	persononstage	Stage Talks	Stage Talks	entertainment.sports.team	sports	sports	talkinghead.frameregular	Talking Head - Center	Talking Head	Comedy_Central_Stand_Up	5-Dq3RTnt7A
Supreme Court blocks $6 billion Purdue Pharma opioid settlement	https://www.youtube.com/watch?v=yMTj4u9ygjE	462.0	CNN_US_News_yMTj4u9ygjE	news.health	health-news	news	talkinghead.frameregular	Talking Head - Center	Talking Head	news.domestic	domestic-news	news	paneldiscussion.virtual	Panel - Virtual	Panel	CNN_US_News	yMTj4u9ygjE
The Science of DOGS	https://www.youtube.com/watch?v=ZipzqCphi8s	185.0	AsapSCIENCE_ZipzqCphi8s	edu.stem.biology.zoology	biology	lifesciences	writing.hand	Writing Hand	Writing Hand	edu.medicine.oncology	medicine	lifesciences	animated.info	Infographics	Graphics	AsapSCIENCE	ZipzqCphi8s
Can The New Bachelorettes Pass A BFF Test?	https://www.youtube.com/watch?v=VHnw1Gi3obI	224.0	BuzzFeed_Celeb_VHnw1Gi3obI	entertainment.reality.dating	dating	personal_vlogs	conversation.casual	Talkshows	Interviews	entertainment.variety.celebritycontent	celebrity-content	arts/culture	conversation.formal	Interviews	Interviews	BuzzFeed_Celeb	VHnw1Gi3obI
Mojo Lang… a fast futuristic Python alternative	https://www.youtube.com/watch?v=V4gGJ7XXlC0	254.0	Fireship_V4gGJ7XXlC0	edu.stem.engineering.computerscience	computersci	tech/engineering	animated.graphics	Animated Graphics	Graphics	skills.digital.coding	software-tutorials	tutorials	animated.info	Infographics	Graphics	Fireship	V4gGJ7XXlC0
Amy Schumer and Chris Fischer Address Their Son's Name Change	https://www.youtube.com/watch?v=bl5msi_5RzU	505.0	Seth_Meyers_bl5msi_5RzU	entertainment.variety.talkshow	talkshows	tv_entertainment	paneldiscussion.virtual	Panel - Virtual	Panel	entertainment.variety.celebritycontent	celebrity-content	arts/culture	conversation.casual	Talkshows	Interviews	Seth_Meyers	bl5msi_5RzU
Empty middle seats on planes won't stop the coronavirus	https://www.youtube.com/watch?v=9Em0FSsI_VU	419.0	Vox_9Em0FSsI_VU	edu.medicine.publichealth	public_health	lifesciences	talkinghead.frameregular	Talking Head - Center	Talking Head	news.health	health-news	news	animated.info	Infographics	Graphics	Vox	9Em0FSsI_VU
The Theory of Everything (9/10) Movie CLIP - While There is Life, There is Hope (2014) HD	https://www.youtube.com/watch?v=KLp6N46er6Y	208.0	RottenTomatoes_KLp6N46er6Y	growth.motivational	selfhelp	lifestyle_wellbeing	persononstage	Stage Talks	Stage Talks	entertainment.movies.clips	movie-clips	tv_entertainment	talkinghead.frameregular	Talking Head - Center	Talking Head	RottenTomatoes	KLp6N46er6Y
Why the US Army tried to exterminate the bison	https://www.youtube.com/watch?v=dHENnP11HC0	495.0	Vox_dHENnP11HC0	edu.social.history	history	arts/culture	docustyle	Documentary Style	Documentaries	edu.stem.biology.zoology	biology	lifesciences	animated.info	Infographics	Graphics	Vox	dHENnP11HC0
Duchess Potatoes Recipe - A Great Way To Cook Potatoes	https://www.youtube.com/watch?v=mjdzwYREr48	477.0	French_Cooking_Academy_mjdzwYREr48	lifestyle.food	food	lifestyle_wellbeing	practicaldemonstration.cooking	Cooking	Demonstrations	skills.culinary.cooking	culinary	culinary	talkinghead.frameregular	Talking Head - Center	Talking Head	French_Cooking_Academy	mjdzwYREr48
