Video	title	url	annotation_rating	comments	reviewed_at	reviewer_id
Chris_Williamson_efmd7LgrXB0	What Do Women Actually Want From Men? - World’s #1 Female Dating Coach Matthew Hussey	https://www.youtube.com/watch?v=efmd7LgrXB0	good		2025-07-31T11:42:22.081211	default
Sprouts_38v6cDzxpUg	Pitch Your Business	https://www.youtube.com/watch?v=38v6cDzxpUg	good		2025-07-31T11:42:32.663363	default
Pursuit_of_Wonder_HAND5-dO4kY	Who Am I? - A Thought Experiment That Changes How You Think About Yourself	https://www.youtube.com/watch?v=HAND5-dO4kY	good		2025-07-31T11:44:07.215781	default
National_Geographic_5KKz7TRcjdU	Power Under Pressure: Getting it Done (Clip) | Alaska: The Next Generation	https://www.youtube.com/watch?v=5KKz7TRcjdU	good		2025-07-31T11:46:05.209645	default
YaleCourses_kWQugT6WbCE	Course Introduction | Essentials of Global Health with Richard Skolnik	https://www.youtube.com/watch?v=kWQugT6WbCE	good		2025-07-31T11:46:21.969603	default
Khan_Academy_l9-YCHZ4XoU	Dmitri Shostakovich: Symphony No. 5. Analysis by Gerard Schwarz (part 4) | Music | Khan Academy	https://www.youtube.com/watch?v=l9-YCHZ4XoU	good		2025-07-31T11:47:04.998753	default
Khan_Academy_Hkmsu9Tl7NE	Demographic structure of society - sex, gender, and sexual orientation | MCAT | Khan Academy	https://www.youtube.com/watch?v=Hkmsu9Tl7NE	good		2025-07-31T11:47:23.831379	default
Saturday_Night_Live_Smk5MgtKwpo	This Day in SNL History: Hunk	https://www.youtube.com/watch?v=Smk5MgtKwpo	good		2025-07-31T11:47:35.871290	default
David_Taylor_0Lu8aeYTyug	Best Dreamweaver Tutorials: Optimize Images for Web Deployment	https://www.youtube.com/watch?v=0Lu8aeYTyug	good		2025-07-31T11:48:14.374681	default
Allure_N6MX6m9lDbg	A Flight Attendant's Entire Routine, From Waking Up to Layovers | Work It | Allure	https://www.youtube.com/watch?v=N6MX6m9lDbg	good		2025-07-31T11:50:15.918886	default
IBM_Technology_QiqZliDXCCg	Exploratory Data Analysis	https://www.youtube.com/watch?v=QiqZliDXCCg	bad		2025-07-31T11:51:26.541459	default
ESPN_pebF-Khtiew	WHO'S MORE CLUTCH: Jalen Brunson or Tyrese Haliburton? 👀 Stephen A. CONCEDES | First Take	https://www.youtube.com/watch?v=pebF-Khtiew	good		2025-07-31T11:52:36.141321	default
SecondThought_cjpLPhbCs2U	Do We Really Have Free Will?	https://www.youtube.com/watch?v=cjpLPhbCs2U	good		2025-07-31T11:52:58.448135	default
Saturday_Night_Live_szLej6PgQoY	Match Finders - SNL	https://www.youtube.com/watch?v=szLej6PgQoY	good		2025-07-31T11:53:51.076552	default
FGTeeV_2xblwEgjqbM	Bad Breath 🎵 Five Night's At Freddy's Security Breach x FGTeeV Official Music Video	https://www.youtube.com/watch?v=2xblwEgjqbM	good		2025-07-31T11:54:17.908902	default
Technology_Connections_IcIpzWeqO1c	Home Automation: A Beginner's Introduction	https://www.youtube.com/watch?v=IcIpzWeqO1c	good		2025-07-31T11:54:31.852705	default
MrBeast_Gaming_CSSsPVweLkc	Last to Survive Random Blocks wins $10,000 - Challenge	https://www.youtube.com/watch?v=CSSsPVweLkc	good		2025-07-31T11:54:41.156290	default
Sprouts_5AuM7DSrPig	Buddhist School Education	https://www.youtube.com/watch?v=5AuM7DSrPig	good		2025-07-31T11:54:48.389021	default
MIT_OpenCourseWare_2eLeU6-0W7E	Exam 1, Problem 5 | MIT 3.091SC Introduction to Solid State Chemistry, Fall 2010	https://www.youtube.com/watch?v=2eLeU6-0W7E	good		2025-07-31T11:55:29.532960	default
Khan_Academy_-83vVeSC2_g	Functionalism | Society and Culture | MCAT | Khan Academy	https://www.youtube.com/watch?v=-83vVeSC2_g	good		2025-07-31T11:55:46.652202	default
MrBeast_Gaming_6T67I2w1G2U	Extreme $1,000,000 Challenge!	https://www.youtube.com/watch?v=6T67I2w1G2U	good		2025-07-31T11:57:28.955846	default
The_Law_Simplified_WDVfhet2HPc	Property Law - Leases: Enforceability	https://www.youtube.com/watch?v=WDVfhet2HPc	good		2025-07-31T11:57:36.796492	default
PowerfulJRE_0O05yasj8KM	Ayahuasca Made Neal Brennan Believe in God	https://www.youtube.com/watch?v=0O05yasj8KM	good		2025-07-31T11:57:45.980960	default
LawShelf_Ij7uNOhoflM	Tort Law: The Rules of Private Nuisance	https://www.youtube.com/watch?v=Ij7uNOhoflM	good		2025-07-31T11:57:57.871118	default
MrBeast_Gaming_VWNdhuV6mwA	World's Largest Challenge!	https://www.youtube.com/watch?v=VWNdhuV6mwA	good		2025-07-31T11:58:16.435170	default
Jimmy_Fallon_rrZbNpDX_E8	Tunde Adebimpe + Thee Black Boltz: Somebody New | The Tonight Show Starring Jimmy Fallon	https://www.youtube.com/watch?v=rrZbNpDX_E8	good		2025-07-31T11:58:22.277772	default
ESPN_7Mrd-eaTl0s	OKC Thunder winning Game 7 was a ‘COMING-OF-AGE’ moment - Alan Hahn | Get Up	https://www.youtube.com/watch?v=7Mrd-eaTl0s	good		2025-07-31T11:58:35.203334	default
TopThink_CBPb-1SMB-M	How to Naturally Grow a Beard from Nothing	https://www.youtube.com/watch?v=CBPb-1SMB-M	good		2025-07-31T11:59:36.626004	default
Sahari_-XU8E3tXDp0	Every Garden Style Explained In 12 Minutes	https://www.youtube.com/watch?v=-XU8E3tXDp0	good		2025-07-31T11:59:45.122006	default
CNN_US_News_wcpPWWQsnl0	Hackers freeze slot machines at MGM casinos	https://www.youtube.com/watch?v=wcpPWWQsnl0	good		2025-07-31T12:01:17.689681	default
Variety_stEzdW2v18A	Heidi Klum & Tim Gunn Talk Moving on From 'Project Runway' to New Fashion Show 'Making the Cut'	https://www.youtube.com/watch?v=stEzdW2v18A	good		2025-07-31T12:01:38.962781	default
30X40_Design_Workshop_zvUHrE4jBHk	Modern Longhouse Design - An Architect's Design Process part 2 of 2	https://www.youtube.com/watch?v=zvUHrE4jBHk	good		2025-07-31T12:01:49.826270	default
TED_Ed_may2s9j4RLk	The myth behind the Chinese zodiac - Megan Campisi and Pen-Pen Chen	https://www.youtube.com/watch?v=may2s9j4RLk	good		2025-07-31T12:02:43.010484	default
Berklee_uPHPUUkfY4w	I VI II V I Chord Progression, Drop 2, and Voice Leading | Advanced Music Theory | Berklee Online	https://www.youtube.com/watch?v=uPHPUUkfY4w	good		2025-07-31T12:02:57.862605	default
SciShow_PBgHGKrvfg0	The Problem with Bee Venom Therapy	https://www.youtube.com/watch?v=PBgHGKrvfg0	good		2025-07-31T12:03:12.856195	default
CNN_US_News_tlwdslSEdZc	Far right spreads conspiracy theory involving Taylor Swift and NFL	https://www.youtube.com/watch?v=tlwdslSEdZc	good		2025-07-31T12:03:53.724395	default
The_School_of_Life_JJPIqEu73Ak	How to Be Attractive on a Date	https://www.youtube.com/watch?v=JJPIqEu73Ak	good		2025-07-31T12:07:30.398332	default
NYT_Podcasts_uduOyddENvs	What Trump Did on Day 1, and Biden’s Final Acts	https://www.youtube.com/watch?v=uduOyddENvs	good		2025-07-31T12:09:14.265638	default
30X40_Design_Workshop_XZbBlsbW1y8	Sketching Design Concepts - Outpost Project, Part 4	https://www.youtube.com/watch?v=XZbBlsbW1y8	good		2025-07-31T12:10:15.700965	default
Khan_Academy_GLgrt_4WnMY	Apulu (Apollo of Veii)	https://www.youtube.com/watch?v=GLgrt_4WnMY	good		2025-07-31T12:11:47.612964	default
IBM_Technology_tQtni2st3xo	GitOps on Multicloud Explained	https://www.youtube.com/watch?v=tQtni2st3xo	good		2025-07-31T12:12:41.795701	default
Sprouts_2kikmVr4gCU	Effective Practice of Musical Instruments	https://www.youtube.com/watch?v=2kikmVr4gCU	good		2025-07-31T12:12:54.550631	default
Sam_ONella_Academy_-A3IlRATIsI	Diogenes, the Publicly-Defecating Philosopher	https://www.youtube.com/watch?v=-A3IlRATIsI	good		2025-07-31T12:16:30.962987	default
Khan_Academy_Z29bpAW1AUM	Pietro Lorenzetti, Birth of the Virgin	https://www.youtube.com/watch?v=Z29bpAW1AUM	good		2025-07-31T12:17:32.973663	default
Simplilearn_X3paOmcrTjQ	Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn	https://www.youtube.com/watch?v=X3paOmcrTjQ	good		2025-07-31T12:18:02.335895	default
PBS_Voices_Bwsne4eMVyU	How Musicians are Soundtracking this Weird Year	https://www.youtube.com/watch?v=Bwsne4eMVyU	good		2025-07-31T12:18:54.938068	default
PewDiePie_C24s3SA0IHE	The Biggest Liar Cheapstake! - TLC #16	https://www.youtube.com/watch?v=C24s3SA0IHE	good		2025-07-31T12:19:30.424553	default
IBM_Technology_OejCJL2EC3k	What is MLOps?	https://www.youtube.com/watch?v=OejCJL2EC3k	good		2025-07-31T12:20:28.496207	default
